Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 175d,34 (20-1-13 60.29%),42 (1.24),←,
10,"Ashcroft, Marcus",24y 327d,147 (50-2-95 34.69%),82 (0.56),←,
36,"Bradshaw, Daniel",17y 270d,3 (3-0-0 100.00%),,←,
1,"Champion, Richard",28y 125d,114 (41-2-71 36.84%),34 (0.30),←,
16,"Clarke, Matthew",22y 334d,64 (33-1-30 52.34%),6 (0.09),←,
14,"Dickfos, Danny",25y 322d,17 (13-1-3 79.41%),,←,
6,"Fletcher, Adrian",26y 312d,126 (60-1-65 48.02%),68 (0.54),81 (35-1-45 43.83%),48 (0.59)
8,"Gowers, Andrew",27y 128d,124 (77-1-46 62.50%),60 (0.48),35 (18-1-16 52.86%),6 (0.17)
32,"Hart, Shaun",25y 92d,97 (34-1-62 35.57%),77 (0.79),←,
27,"Keating, Clark",20y 151d,14 (10-1-3 75.00%),9 (0.64),←,
41,"Kennedy, Matthew",26y 195d,108 (36-1-71 33.80%),25 (0.23),←,
44,"Lappin, Nigel",20y 57d,56 (29-1-26 52.68%),38 (0.68),←,
23,"Leppitsch, Justin",20y 321d,39 (19-1-19 50.00%),48 (1.23),←,
42,"Lynch, Tristan",22y 361d,16 (11-1-4 71.88%),1 (0.06),←,
7,"McIvor, Scott",30y 8d,191 (70-1-120 36.91%),91 (0.48),136 (44-1-91 32.72%),76 (0.56)
4,"McRae, Craig",22y 330d,35 (18-0-17 51.43%),48 (1.37),←,
24,"Merrett, Roger",36y 120d,308 (148-4-156 48.70%),427 (1.39),159 (51-2-106 32.70%),279 (1.75)
28,"Robbins, Ben",19y 234d,4 (3-0-1 75.00%),1 (0.25),←,
38,"Scott, Dion",26y 138d,52 (25-0-27 48.08%),35 (0.67),46 (24-0-22 52.17%),35 (0.76)
3,"Voss, Michael",21y 41d,75 (35-1-39 47.33%),70 (0.93),←,
33,"White, Darryl",23y 66d,87 (37-2-48 43.68%),102 (1.17),←,
Totals,Totals,24y 91d,1711 (772-23-916 45.12%),1264 (0.74),,
C,"Northey, John",53y 49d,276 (142-3-131 51.99%),,20 (14-1-5 72.50%),
