Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
5,"Ablett, Gary",30y 187d,149 (81-1-67 54.70%),522 (3.50),143 (76-1-66 53.50%),512 (3.58)
3,"Bairstow, Mark",28y 256d,92 (53-1-38 58.15%),112 (1.22),←,
27,"Bews, Andrew",27y 261d,172 (85-1-86 49.71%),123 (0.72),←,
40,"Brown, Paul",22y 335d,16 (8-0-8 50.00%),16 (1.00),←,
7,"Couch, Paul",27y 261d,144 (78-0-66 54.17%),118 (0.82),←,
28,"Darcy, Tim",28y 81d,125 (63-0-62 50.40%),52 (0.42),←,
33,"Forssman, Darren",21y 204d,17 (10-0-7 58.82%),11 (0.65),←,
14,"Handley, Steven",21y 257d,3 (1-0-2 33.33%),4 (1.33),←,
29,"Hinkley, Ken",25y 188d,54 (27-0-27 50.00%),52 (0.96),43 (23-0-20 53.49%),31 (0.72)
1,"Hocking, Steve",27y 78d,148 (76-0-72 51.35%),10 (0.07),←,
39,"Lamb, Jamie",23y 358d,43 (10-0-33 23.26%),9 (0.21),10 (5-0-5 50.00%),2 (0.20)
17,"McGrath, Tim",21y 181d,10 (5-0-5 50.00%),,3 (1-0-2 33.33%),
31,"Mensch, David",19y 235d,1 (1-0-0 100.00%),,←,
2,"Miles, Geoff",30y 86d,105 (53-0-52 50.48%),40 (0.38),3 (1-0-2 33.33%),
22,"Neeld, Mark",20y 267d,29 (15-0-14 51.72%),14 (0.48),←,
24,"Poole, Trevor",27y 348d,135 (48-0-87 35.56%),83 (0.61),36 (18-0-18 50.00%),27 (0.75)
20,"Rogers, Andrew",27y 234d,70 (42-0-28 60.00%),3 (0.04),62 (37-0-25 59.68%),2 (0.03)
8,"Scott, Robert",23y 35d,82 (43-1-38 53.05%),99 (1.21),←,
37,"Simpson, Sean",21y 355d,29 (18-0-11 62.07%),8 (0.28),22 (17-0-5 77.27%),7 (0.32)
26,"Stoneham, Barry",24y 56d,113 (61-1-51 54.42%),87 (0.77),←,
Totals,Totals,25y 49d,1537 (778-5-754 50.62%),1363 (0.89),,
C,"Blight, Malcolm",42y 49d,92 (50-0-42 54.35%),,76 (44-0-32 57.89%),
