Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Alessio, Steven",8,4,6,14,2,,13.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,,9.0,5.0,1.0,1.0,1.0,,,
16,"Barnard, Paul",9,3,3,12,,,7.0,,,2.0,6.0,1.0,,,,7.0,4.0,,,1.0,,,
8,"Bewick, Darren",12,2,1,13,4,,,1.0,2.0,3.0,1.0,3.0,,1.0,,5.0,7.0,,,1.0,,,
32,"Blumfield, Justin",4,2,6,10,1,,2.0,,,1.0,2.0,4.0,,2.0,,6.0,4.0,,1.0,,,,
33,"Caracella, Blake",11,7,7,18,2,1.0,,1.0,,3.0,2.0,1.0,,1.0,,7.0,11.0,1.0,3.0,1.0,,,
38,"Denham, Sean",15,3,4,19,,,,5.0,1.0,6.0,6.0,,2.0,3.0,,11.0,9.0,,,2.0,,,
31,"Fletcher, Dustin",17,9,3,20,,,,1.0,7.0,1.0,,2.0,,1.0,,6.0,11.0,1.0,,3.0,2.0,,
11,"Hardwick, Damien",15,7,4,19,,,,1.0,7.0,3.0,1.0,,1.0,,,9.0,11.0,2.0,,1.0,,,
26,"Heffernan, Chris",9,3,1,10,,,2.0,2.0,1.0,2.0,4.0,,,1.0,,5.0,5.0,1.0,,,,,
28,"Johnson, Mark",10,3,1,11,1,,,,1.0,6.0,1.0,,,,,2.0,8.0,1.0,,1.0,,,
17,"Lalich, Judd",1,,3,4,,,2.0,3.0,,,1.0,1.0,1.0,,,3.0,2.0,,,,,,
18,"Lloyd, Matthew",4,3,2,6,1,,,2.0,,2.0,,1.0,1.0,3.0,,3.0,3.0,1.0,,1.0,,,
13,"Long, Michael",9,2,2,11,,,,,,2.0,3.0,1.0,,,,2.0,9.0,1.0,,2.0,,,
2,"Mercuri, Mark",10,6,8,18,2,1.0,,,,,2.0,2.0,,3.0,,8.0,8.0,2.0,2.0,,1.0,,
24,"Misiti, Joe",13,6,10,23,1,,,3.0,,3.0,7.0,,1.0,1.0,,7.0,15.0,,2.0,1.0,,,
29,"Moorcroft, Gary",5,2,5,10,1,,,2.0,,2.0,,3.0,1.0,1.0,,4.0,6.0,,1.0,,,,
15,"Prior, Michael",23,10,1,24,,,,1.0,7.0,5.0,1.0,3.0,,1.0,,4.0,18.0,,,,1.0,,
19,"Somerville, Peter",4,3,1,5,,,10.0,,1.0,,1.0,,,1.0,,1.0,4.0,1.0,,1.0,,,
12,"Symons, Michael",4,4,4,8,,,,1.0,,1.0,2.0,,1.0,1.0,,4.0,5.0,1.0,,,,,
1,"Ukovic, Andrew",4,3,1,5,,,,,1.0,2.0,1.0,,,,,1.0,4.0,,,1.0,1.0,,
21,"Wallis, Dean",9,4,1,10,,,,1.0,4.0,1.0,,,1.0,2.0,,3.0,5.0,,,1.0,,,
6,"Wellman, Sean",17,5,5,22,,,,1.0,8.0,3.0,1.0,1.0,,1.0,2.0,14.0,9.0,2.0,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,91,79,292,15,3.0,36.0,27.0,41.0,50.0,44.0,25.0,12.0,26.0,2.0,121.0,163.0,15.0,10.0,18.0,5.0,,
Opposition,Opposition,222,87,88,310,11,13.0,30.0,24.0,33.0,58.0,47.0,26.0,26.0,12.0,4.0,140.0,164.0,10.0,14.0,22.0,3.0,,
