Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",28y 71d,90 (55-1-34 61.67%),6 (0.07),72 (48-1-23 67.36%),2 (0.03)
20,"Brogan, Dean",24y 280d,31 (24-0-7 77.42%),8 (0.26),←,
7,"Burgoyne, Peter",25y 234d,132 (74-2-56 56.82%),149 (1.13),←,
8,"Burgoyne, Shaun",20y 334d,42 (34-0-8 80.95%),63 (1.50),←,
9,"Carr, Josh",23y 144d,86 (60-1-25 70.35%),49 (0.57),←,
26,"Cochrane, Stuart",25y 62d,72 (39-0-33 54.17%),14 (0.19),22 (16-0-6 72.73%),3 (0.14)
12,"Cockatoo-Collins, Che",28y 199d,160 (100-3-57 63.44%),215 (1.34),75 (53-0-22 70.67%),106 (1.41)
35,"Cornes, Chad",23y 312d,98 (61-1-36 62.76%),106 (1.08),←,
18,"Cornes, Kane",20y 258d,44 (32-0-12 72.73%),16 (0.36),←,
17,"Dew, Stuart",24y 33d,114 (64-2-48 57.02%),177 (1.55),←,
11,"Hardwick, Damien",31y 33d,193 (131-1-61 68.13%),13 (0.07),40 (30-0-10 75.00%),
29,"Kingsley, Adam",28y 31d,125 (70-2-53 56.80%),25 (0.20),←,
5,"Lade, Brendon",27y 72d,100 (56-2-42 57.00%),68 (0.68),←,
3,"Montgomery, Brett",30y 111d,149 (95-2-52 64.43%),91 (0.61),89 (55-1-33 62.36%),37 (0.42)
14,"Paxman, Stephen",32y 290d,240 (98-2-140 41.25%),38 (0.16),138 (76-2-60 55.80%),20 (0.14)
15,"Pickett, Byron",26y 40d,145 (93-0-52 64.14%),124 (0.86),25 (19-0-6 76.00%),43 (1.72)
6,"Schofield, Jarrad",28y 233d,169 (104-1-64 61.83%),112 (0.66),106 (65-1-40 61.79%),78 (0.74)
36,"Stevens, Nick",23y 260d,127 (74-2-51 59.06%),78 (0.61),←,
16,"Tredrea, Warren",24y 270d,130 (76-1-53 58.85%),263 (2.02),←,
2,"Wakelin, Darryl",29y 40d,179 (99-1-79 55.59%),11 (0.06),64 (46-0-18 71.88%),3 (0.05)
4,"Wanganeen, Gavin",30y 94d,257 (151-5-101 59.73%),164 (0.64),130 (78-2-50 60.77%),101 (0.78)
21,"Wilson, Michael",26y 303d,113 (57-3-53 51.77%),35 (0.31),←,
Totals,Totals,26y 202d,2796 (1647-32-1117 58.91%),1825 (0.65),,
C,"Williams, Mark",45y 30d,118 (72-1-45 61.44%),,←,
