Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",6,2,10,16,,,,2.0,,,,,,2.0,,,,,,,,,
22,"Bain, David",8,,3,11,,2.0,,6.0,,,,,3.0,2.0,,,,,,,,,
11,"Buckley, Nathan",12,1,2,14,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
25,"Campbell, Matthew",3,1,8,11,,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
1,"Champion, Richard",12,3,4,16,1,1.0,,3.0,,,,,1.0,4.0,,,,,,,,,
5,"Chapman, Nathan",9,5,7,16,1,,1.0,1.0,,,,,1.0,,,,,,,,,,
6,"Fletcher, Adrian",19,3,15,34,1,1.0,1.0,4.0,,,,,2.0,3.0,,,,,,,,,
29,"Francis, Fabian",3,,3,6,,1.0,,2.0,,,,,,1.0,,,,,,,,,
4,"Gastev, John",8,1,9,17,,,,2.0,,,,,1.0,2.0,,,,,,,,,
2,"Green, Ashley",6,3,4,10,,,,1.0,,,,,1.0,2.0,,,,,,,,,
32,"Hart, Shaun",4,1,2,6,,1.0,,6.0,,,,,1.0,4.0,,,,,,,,,
41,"Kennedy, Matthew",21,7,8,29,,,6.0,,,,,,2.0,3.0,,,,,,,,,
23,"Leppitsch, Justin",8,,4,12,1,,,3.0,,,,,2.0,1.0,,,,,,,,,
17,"Leslie, Martin",13,5,11,24,,,,2.0,,,,,,1.0,,,,,,,,,
7,"McIvor, Scott",7,3,3,10,,1.0,,2.0,,,,,1.0,4.0,,,,,,,,,
24,"Merrett, Roger",7,3,3,10,4,1.0,4.0,1.0,,,,,3.0,2.0,,,,,,,,,
27,"Murphy, Michael",1,,6,7,,,,1.0,,,,,,,,,,,,,,,
26,"Noonan, Danny",8,2,7,15,,,,3.0,,,,,1.0,3.0,,,,,,,,,
8,"Peos, Paul",3,2,,3,2,1.0,,,,,,,1.0,,,,,,,,,,
3,"Voss, Michael",9,5,10,19,,,,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,167,47,119,286,11,14.0,12.0,42.0,,,,,23.0,37.0,,,,,,,,,
Opposition,Opposition,195,51,103,298,18,18.0,23.0,27.0,,,,,37.0,23.0,6.0,,,,,,,,
