Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
22,"Breust, Luke",26y 190d,149 (113-0-36 75.84%),285 (1.91),←,
9,"Burgoyne, Shaun",34y 211d,328 (223-1-104 68.14%),262 (0.80),171 (126-1-44 73.98%),91 (0.53)
5,"Burton, Ryan",20y 109d,12 (5-0-7 41.67%),2 (0.17),←,
8,"Duryea, Taylor",26y 26d,88 (66-0-22 75.00%),14 (0.16),←,
6,"Gibson, Josh",33y 68d,222 (142-2-78 64.41%),5 (0.02),157 (113-1-43 72.29%),3 (0.02)
19,"Gunston, Jack",25y 216d,136 (95-0-41 69.85%),280 (2.06),122 (90-0-32 73.77%),260 (2.13)
37,"Hardwick, Blake",20y 104d,7 (4-0-3 57.14%),,←,
4,"Hartung, Billy",22y 116d,52 (37-0-15 71.15%),24 (0.46),←,
34,"Heatherley, Kurt",22y 139d,2 (0-0-2 0.00%),,←,
31,"Henderson, Ricky",28y 251d,96 (47-0-49 48.96%),46 (0.48),6 (1-0-5 16.67%),3 (0.50)
15,"Hodge, Luke",32y 339d,294 (173-1-120 59.01%),192 (0.65),←,
17,"Howe, Daniel",21y 167d,20 (16-0-4 80.00%),3 (0.15),←,
29,"Langford, Will",24y 321d,55 (37-0-18 67.27%),18 (0.33),←,
7,"McEvoy, Ben",27y 313d,155 (92-2-61 60.00%),65 (0.42),64 (41-0-23 64.06%),38 (0.59)
3,"Mitchell, Tom",23y 354d,74 (45-0-29 60.81%),40 (0.54),9 (3-0-6 33.33%),2 (0.22)
28,"Puopolo, Paul",29y 169d,142 (107-0-35 75.35%),142 (1.00),←,
2,"Roughead, Jarryd",30y 117d,240 (153-1-86 63.96%),507 (2.11),←,
26,"Shiels, Liam",26y 21d,151 (109-0-42 72.19%),52 (0.34),←,
21,"Sicily, James",22y 134d,31 (20-0-11 64.52%),42 (1.35),←,
16,"Smith, Isaac",28y 141d,144 (109-0-35 75.69%),116 (0.81),←,
27,"Vickery, Ty",26y 354d,123 (56-2-65 46.34%),160 (1.30),4 (0-0-4 0.00%),2 (0.50)
11,"Whitecross, Brendan",27y 115d,99 (64-1-34 65.15%),40 (0.40),←,
Totals,Totals,26y 164d,2620 (1713-10-897 65.38%),2295 (0.88),,
C,"Clarkson, Alastair",49y 23d,292 (183-1-108 62.84%),,←,
