Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",13,5,2,15,,,,1.0,3.0,,1.0,,,,,5.0,10.0,1.0,,3.0,,,92.0
16,"Brown, Leigh",10,8,4,14,,,1.0,,1.0,5.0,,1.0,,1.0,,4.0,10.0,,,3.0,,,91.0
43,"Campbell, Matt",4,2,2,6,,1.0,,1.0,,1.0,,1.0,,,,,5.0,,1.0,1.0,5.0,,58.0
27,"Edwards, Aaron",10,7,3,13,1,,,,,4.0,,5.0,,,,2.0,11.0,,1.0,2.0,,,80.0
24,"Firrito, Michael",5,4,4,9,,,,2.0,5.0,,,2.0,,1.0,,1.0,7.0,,,2.0,6.0,,89.0
38,"Gibson, Josh",9,7,11,20,,,,2.0,5.0,,,2.0,,,,5.0,13.0,1.0,,8.0,2.0,,100.0
6,"Grant, Shannon",9,4,3,12,3,1.0,,2.0,,3.0,1.0,1.0,2.0,,,6.0,6.0,,3.0,,,1.0,100.0
15,"Green, Kasey",6,1,4,10,,,,,,,1.0,2.0,,1.0,,4.0,7.0,,,1.0,,,86.0
17,"Grima, Blake",3,,6,9,,,,2.0,,2.0,,1.0,,1.0,,2.0,7.0,,,,,,55.0
4,"Harris, Daniel",3,2,4,7,,1.0,,2.0,,,,2.0,,2.0,,5.0,2.0,1.0,1.0,,,,57.0
29,"Harvey, Brent",5,1,6,11,,,,2.0,,2.0,1.0,1.0,,1.0,,6.0,5.0,,,1.0,1.0,1.0,90.0
21,"Jones, Corey",5,3,6,11,1,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,,7.0,4.0,,,3.0,,,98.0
1,"McIntosh, Hamish",13,2,10,23,,1.0,19.0,1.0,1.0,7.0,,5.0,,3.0,,6.0,16.0,,1.0,1.0,2.0,,76.0
42,"McMahon, Scott",4,2,7,11,,,,,3.0,,,1.0,,,,3.0,8.0,,,3.0,1.0,,81.0
20,"Petrie, Drew",9,5,5,14,,2.0,7.0,4.0,2.0,3.0,4.0,1.0,1.0,,,7.0,7.0,1.0,,1.0,1.0,,76.0
30,"Pratt, Daniel",6,3,6,12,,,,,3.0,3.0,1.0,1.0,,1.0,,5.0,8.0,,,2.0,6.0,1.0,88.0
3,"Rawlings, Brady",7,1,13,20,,,,2.0,1.0,1.0,8.0,3.0,2.0,1.0,,12.0,8.0,,,2.0,,,82.0
7,"Simpson, Adam",15,4,9,24,,1.0,,1.0,,7.0,6.0,1.0,,1.0,,10.0,13.0,2.0,,3.0,1.0,,75.0
9,"Sinclair, Jess",13,5,10,23,,1.0,,6.0,5.0,2.0,3.0,3.0,1.0,1.0,,7.0,16.0,,1.0,3.0,1.0,,90.0
10,"Smith, Jesse",8,1,11,19,,,1.0,1.0,5.0,1.0,,3.0,1.0,1.0,,8.0,12.0,,,2.0,1.0,,97.0
19,"Swallow, Andrew",7,2,8,15,1,2.0,,9.0,1.0,2.0,2.0,2.0,2.0,1.0,,7.0,9.0,,1.0,2.0,1.0,,72.0
12,"Thomas, Lindsay",5,2,1,6,1,1.0,,2.0,,2.0,,,,,,1.0,5.0,,,,,1.0,67.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,71,135,304,7,13.0,28.0,44.0,35.0,46.0,29.0,39.0,10.0,17.0,,113.0,189.0,6.0,9.0,43.0,28.0,4.0,
Opposition,Opposition,238,136,187,425,18,13.0,41.0,70.0,33.0,54.0,38.0,31.0,17.0,10.0,6.0,119.0,309.0,8.0,15.0,49.0,17.0,12.0,
