North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",24y 10d,84 (38-1-45 45.83%),81 (0.96),←,
18,"Carey, Wayne",21y 9d,50 (24-0-26 48.00%),85 (1.70),←,
23,"Clarkson, Alastair",24y 39d,59 (24-2-33 42.37%),54 (0.92),←,
27,"Crocker, Darren",25y 71d,92 (41-1-50 45.11%),51 (0.55),←,
12,"Dilena, Carl",25y 80d,33 (16-0-17 48.48%),23 (0.70),10 (6-0-4 60.00%),8 (0.80)
28,"Dwyer, Anthony",22y 156d,8 (2-0-6 25.00%),8 (1.00),←,
29,"German, Peter",27y 124d,150 (73-3-74 49.67%),178 (1.19),←,
26,"Ishchenko, Alex",28y 46d,79 (28-0-51 35.44%),27 (0.34),7 (2-0-5 28.57%),2 (0.29)
9,"Larkin, Matthew",27y 291d,158 (79-3-76 50.95%),134 (0.85),←,
35,"Longmire, John",21y 157d,79 (35-1-43 44.94%),250 (3.16),←,
20,"Mann, Peter",21y 272d,5 (1-0-4 20.00%),2 (0.40),←,
4,"Martyn, Mick",23y 279d,87 (39-1-47 45.40%),9 (0.10),←,
16,"McCarthy, John",25y 67d,83 (35-1-47 42.77%),92 (1.11),←,
37,"Page, Glenn",22y 73d,21 (5-1-15 26.19%),3 (0.14),3 (0-0-3 0.00%),
36,"Romero, Jose",20y 309d,57 (27-0-30 47.37%),76 (1.33),←,
2,"Schwass, Wayne",23y 191d,72 (32-0-40 44.44%),37 (0.51),←,
24,"Sholl, Craig",24y 158d,54 (27-0-27 50.00%),11 (0.20),←,
1,"Spargo, Paul",25y 240d,72 (34-2-36 48.61%),98 (1.36),←,
17,"Staritski, Justin",21y 331d,20 (10-0-10 50.00%),4 (0.20),←,
7,"Steele, Darren",26y 53d,109 (44-1-64 40.83%),30 (0.28),←,
Totals,Totals,24y 38d,1372 (614-17-741 44.75%),1253 (0.91),,
C,"Schimmelbusch, Wayne",39y 138d,55 (27-0-28 49.09%),,←,
