Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",20,2,13,33,,1.0,,1.0,,,,,2.0,2.0,3.0,,,,,,,,
18,"Cameron, Leon",13,4,4,17,,,,,,,,,2.0,,,,,,,,,,
17,"Charles, Justin",7,7,11,18,,,6.0,,,,,,,2.0,,,,,,,,,
20,"Coleman, Glenn",5,3,4,9,,2.0,5.0,,,,,,2.0,,,,,,,,,,
22,"Cullen, Mark",10,2,7,17,2,2.0,,1.0,,,,,3.0,1.0,,,,,,,,,
4,"Davies, Darren",3,1,6,9,,1.0,,,,,,,,1.0,,,,,,,,,
26,"Del-Re, Danny",7,6,7,14,2,4.0,,1.0,,,,,1.0,2.0,,,,,,,,,
12,"Eppelstun, Greg",16,4,7,23,,,,1.0,,,,,1.0,1.0,,,,,,,,,
32,"Foster, Peter",10,5,4,14,,,,,,,,,1.0,2.0,,,,,,,,,
29,"Grant, Chris",5,4,2,7,1,,,1.0,,,,,,,,,,,,,,,
7,"Hawkins, Doug",14,5,6,20,3,,2.0,1.0,,,,,,,,,,,,,,,
10,"Hunter, Mark",7,,12,19,,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,
8,"Kennedy, Rick",1,,5,6,,,,1.0,,,,,1.0,,,,,,,,,,
39,"Liberatore, Tony",10,1,11,21,1,1.0,,7.0,,,,,3.0,1.0,1.0,,,,,,,,
11,"McGuinness, Tony",24,2,8,32,2,3.0,,1.0,,,,,,3.0,,,,,,,,,
14,"Reynolds, Keenan",5,,2,7,,,,,,,,,,2.0,,,,,,,,,
33,"Royal, Brian",17,5,8,25,4,1.0,,3.0,,,,,1.0,2.0,,,,,,,,,
16,"Wallace, Terry",21,8,21,42,,,,1.0,,,,,1.0,,2.0,,,,,,,,
24,"Wallis, Stephen",7,2,15,22,,,,,,,,,,,,,,,,,,,
6,"Wigney, Stuart",11,6,7,18,2,3.0,,,,,,,2.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,67,160,373,17,21.0,13.0,20.0,,,,,23.0,22.0,6.0,,,,,,,,
Opposition,Opposition,193,46,107,300,12,16.0,16.0,33.0,,,,,22.0,23.0,,,,,,,,,
