Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",26y 307d,175 (77-0-98 44.00%),142 (0.81),←,
7,"Brown, Nathan",27y 73d,162 (71-3-88 44.75%),245 (1.51),25 (7-0-18 28.00%),39 (1.56)
9,"Campbell, Wayne",32y 213d,280 (124-1-155 44.46%),162 (0.58),←,
6,"Chaffey, Mark",27y 353d,148 (61-0-87 41.22%),32 (0.22),←,
24,"Coughlan, Mark",23y 4d,54 (18-0-36 33.33%),28 (0.52),←,
3,"Deledio, Brett",18y 6d,5 (3-0-2 60.00%),1 (0.20),←,
2,"Gaspar, Darren",28y 339d,200 (88-0-112 44.00%),23 (0.12),179 (81-0-98 45.25%),22 (0.12)
34,"Graham, Mark",32y 42d,228 (106-2-120 46.93%),62 (0.27),5 (3-0-2 60.00%),1 (0.20)
20,"Hall, Ray",24y 179d,72 (27-0-45 37.50%),25 (0.35),←,
31,"Hyde, Chris",22y 258d,35 (7-0-28 20.00%),6 (0.17),←,
23,"Jackson, Daniel",18y 364d,11 (3-0-8 27.27%),,←,
39,"Kellaway, Andrew",29y 152d,146 (64-0-82 43.84%),23 (0.16),←,
13,"Knobel, Trent",24y 336d,59 (33-1-25 56.78%),10 (0.17),5 (3-0-2 60.00%),2 (0.40)
27,"Krakouer, Andrew",22y 79d,61 (17-0-44 27.87%),59 (0.97),←,
35,"Newman, Chris",22y 341d,59 (17-0-42 28.81%),7 (0.12),←,
15,"Pettifer, Kayne",23y 92d,42 (17-0-25 40.48%),31 (0.74),←,
4,"Raines, Andrew",19y 47d,4 (2-0-2 50.00%),,←,
12,"Richardson, Matthew",30y 36d,199 (87-0-112 43.72%),596 (2.99),←,
5,"Simmonds, Troy",26y 285d,109 (55-0-54 50.46%),68 (0.62),5 (3-0-2 60.00%),2 (0.40)
10,"Stafford, Greg",30y 240d,180 (80-1-99 44.72%),117 (0.65),50 (18-0-32 36.00%),59 (1.18)
32,"Tivendale, Greg",26y 5d,130 (52-0-78 40.00%),93 (0.72),←,
21,"Tuck, Shane",23y 121d,8 (3-0-5 37.50%),4 (0.50),←,
Totals,Totals,25y 193d,2367 (1012-8-1347 42.75%),1734 (0.73),,
C,"Wallace, Terry",46y 132d,153 (82-2-69 54.25%),,5 (3-0-2 60.00%),
