Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
9,"AhMat, Robert",22y 286d,49 (26-0-23 53.06%),40 (0.82),24 (14-0-10 58.33%),18 (0.75)
27,"Ball, Jason",27y 161d,107 (65-0-42 60.75%),119 (1.11),4 (2-0-2 50.00%),5 (1.25)
21,"Barry, Leo",22y 347d,57 (32-0-25 56.14%),43 (0.75),←,
24,"Bolton, Jude",20y 46d,13 (4-0-9 30.77%),6 (0.46),←,
8,"Cresswell, Daryn",28y 344d,171 (70-1-100 41.23%),140 (0.82),←,
28,"Crouch, Jared",22y 56d,49 (24-0-25 48.98%),7 (0.14),←,
6,"Dunkley, Andrew",31y 306d,170 (70-2-98 41.76%),10 (0.06),←,
18,"Fitzgerald, Ryan",23y 197d,8 (3-0-5 37.50%),14 (1.75),←,
12,"Fosdike, Nic",20y 64d,16 (7-0-9 43.75%),9 (0.56),←,
37,"Goodes, Adam",20y 113d,28 (12-0-16 42.86%),31 (1.11),←,
31,"Kirk, Brett",23y 188d,7 (2-0-5 28.57%),5 (0.71),←,
34,"Luff, Troy",30y 160d,128 (58-2-68 46.09%),76 (0.59),←,
36,"Mathews, Ben",21y 153d,29 (14-0-15 48.28%),6 (0.21),←,
11,"Maxfield, Stuart",28y 21d,189 (94-2-93 50.26%),113 (0.60),100 (59-1-40 59.50%),48 (0.48)
23,"Nicks, Matthew",24y 353d,81 (45-0-36 55.56%),32 (0.40),←,
16,"OConnor, Ryan",25y 308d,81 (39-3-39 50.00%),48 (0.59),18 (7-0-11 38.89%),1 (0.06)
19,"OLoughlin, Michael",23y 70d,109 (61-1-47 56.42%),137 (1.26),←,
22,"Saddington, Jason",20y 190d,52 (27-0-25 51.92%),22 (0.42),←,
25,"Schauble, Andrew",23y 165d,87 (30-0-57 34.48%),13 (0.15),8 (3-0-5 37.50%),2 (0.25)
2,"Schwass, Wayne",31y 155d,237 (129-0-108 54.43%),134 (0.57),53 (28-0-25 52.83%),37 (0.70)
1,"Stafford, Greg",25y 247d,98 (44-1-53 45.41%),31 (0.32),←,
20,"Stevens, John",28y 320d,63 (34-0-29 53.97%),37 (0.59),←,
Totals,Totals,24y 326d,1829 (890-12-927 48.66%),1073 (0.59),,
C,"Eade, Rodney",42y 26d,103 (59-1-43 57.77%),,←,
