Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
37,"Callinan, Ian",29y 277d,26 (17-0-9 65.38%),41 (1.58),←,
32,"Dangerfield, Patrick",22y 170d,89 (47-0-42 52.81%),94 (1.06),←,
11,"Doughty, Michael",33y 48d,231 (135-0-96 58.44%),46 (0.20),←,
26,"Douglas, Richard",25y 229d,114 (59-0-55 51.75%),76 (0.67),←,
45,"Henderson, Ricky",24y 11d,42 (21-0-21 50.00%),34 (0.81),←,
24,"Jacobs, Sam",24y 165d,60 (31-0-29 51.67%),13 (0.22),43 (24-0-19 55.81%),10 (0.23)
18,"Johncock, Graham",29y 337d,225 (124-0-101 55.11%),118 (0.52),←,
14,"Mackay, David",24y 59d,86 (52-0-34 60.47%),24 (0.28),←,
22,"Otten, Andy",23y 130d,47 (25-0-22 53.19%),3 (0.06),←,
23,"Petrenko, Jared",22y 275d,59 (27-0-32 45.76%),33 (0.56),←,
40,"Porplyzia, Jason",27y 300d,110 (67-0-43 60.91%),167 (1.52),←,
3,"Reilly, Brent",28y 315d,181 (100-0-81 55.25%),50 (0.28),←,
25,"Rutten, Ben",29y 117d,194 (113-0-81 58.25%),8 (0.04),←,
9,"Sloane, Rory",22y 189d,57 (31-0-26 54.39%),37 (0.65),←,
33,"Smith, Brodie",20y 252d,36 (22-0-14 61.11%),7 (0.19),←,
6,"Thompson, Luke",21y 227d,14 (3-0-11 21.43%),2 (0.14),←,
5,"Thompson, Scott",29y 192d,223 (125-0-98 56.05%),139 (0.62),184 (107-0-77 58.15%),122 (0.66)
4,"Tippett, Kurt",25y 137d,104 (53-0-51 50.96%),188 (1.81),←,
7,"van Berlo, Nathan",26y 108d,163 (94-0-69 57.67%),56 (0.34),←,
17,"Vince, Bernie",26y 356d,108 (59-0-49 54.63%),67 (0.62),←,
13,"Walker, Taylor",22y 150d,64 (33-0-31 51.56%),153 (2.39),←,
47,"Wright, Matthew",22y 283d,41 (22-0-19 53.66%),33 (0.80),←,
Totals,Totals,25y 230d,2274 (1260-0-1014 55.41%),1389 (0.61),,
C,"Sanderson, Brenton",38y 208d,25 (18-0-7 72.00%),,←,
