Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
16,"Brown, Leigh",25y 85d,158 (64-1-93 40.82%),69 (0.44),95 (45-1-49 47.89%),49 (0.52)
43,"Campbell, Matt",20y 118d,7 (5-0-2 71.43%),8 (1.14),←,
27,"Edwards, Aaron",23y 78d,11 (9-0-2 81.82%),9 (0.82),7 (5-0-2 71.43%),7 (1.00)
24,"Firrito, Michael",23y 173d,66 (34-0-32 51.52%),12 (0.18),←,
38,"Gibson, Josh",23y 67d,17 (8-0-9 47.06%),,←,
6,"Grant, Shannon",30y 30d,263 (147-2-114 56.27%),309 (1.17),205 (115-1-89 56.34%),271 (1.32)
15,"Green, Kasey",27y 251d,80 (31-1-48 39.38%),22 (0.28),26 (10-0-16 38.46%),14 (0.54)
17,"Grima, Blake",22y 345d,10 (8-0-2 80.00%),3 (0.30),←,
4,"Harris, Daniel",25y 9d,99 (48-1-50 48.99%),31 (0.31),←,
29,"Harvey, Brent",29y 5d,224 (125-1-98 56.03%),263 (1.17),←,
21,"Jones, Corey",26y 82d,111 (51-0-60 45.95%),134 (1.21),←,
1,"McIntosh, Hamish",22y 257d,26 (10-0-16 38.46%),11 (0.42),←,
42,"McMahon, Scott",20y 351d,1 (1-0-0 100.00%),,←,
20,"Petrie, Drew",24y 216d,114 (54-1-59 47.81%),80 (0.70),←,
30,"Pratt, Daniel",24y 59d,46 (23-0-23 50.00%),4 (0.09),43 (22-0-21 51.16%),3 (0.07)
3,"Rawlings, Brady",25y 343d,141 (72-0-69 51.06%),52 (0.37),←,
7,"Simpson, Adam",31y 92d,250 (146-1-103 58.60%),72 (0.29),←,
9,"Sinclair, Jess",28y 266d,169 (66-1-102 39.35%),65 (0.38),119 (53-1-65 44.96%),39 (0.33)
10,"Smith, Jesse",20y 232d,9 (6-0-3 66.67%),1 (0.11),←,
19,"Swallow, Andrew",19y 351d,20 (8-0-12 40.00%),6 (0.30),←,
12,"Thomas, Lindsay",19y 80d,5 (2-0-3 40.00%),5 (1.00),←,
36,"Watt, Shannon",26y 174d,116 (58-1-57 50.43%),8 (0.07),←,
Totals,Totals,24y 216d,1943 (976-10-957 50.23%),1164 (0.60),,
C,"Laidley, Dani",40y 53d,97 (46-1-50 47.94%),,←,
