St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",30y 7d,188 (100-2-86 53.72%),34 (0.18),←,
27,"Blake, Jason",29y 75d,171 (96-2-73 56.73%),33 (0.19),←,
16,"Clarke, Raphael",24y 247d,63 (42-0-21 66.67%),6 (0.10),←,
26,"Dal Santo, Nick",26y 96d,178 (106-2-70 60.11%),97 (0.54),←,
6,"Dawson, Zac",24y 96d,47 (31-0-16 65.96%),2 (0.04),33 (27-0-6 81.82%),2 (0.06)
40,"Eddy, Robert",22y 142d,25 (20-0-5 80.00%),7 (0.28),←,
25,"Fisher, Sam",27y 323d,128 (83-1-44 65.23%),16 (0.13),←,
15,"Gardiner, Michael",30y 328d,167 (93-2-72 56.29%),106 (0.63),38 (27-0-11 71.05%),19 (0.50)
19,"Gilbert, Sam",23y 283d,71 (48-1-22 68.31%),12 (0.17),←,
18,"Goddard, Brendon",25y 9d,147 (95-0-52 64.63%),70 (0.48),←,
33,"Gwilt, James",23y 291d,51 (35-0-16 68.63%),18 (0.35),←,
7,"Hayes, Lenny",30y 135d,224 (113-3-108 51.12%),74 (0.33),←,
4,"Jones, Clinton",26y 116d,60 (45-1-14 75.83%),17 (0.28),←,
23,"Koschitzke, Justin",27y 251d,149 (84-1-64 56.71%),178 (1.19),←,
5,"McEvoy, Ben",20y 322d,17 (16-0-1 94.12%),5 (0.29),←,
32,"McQualter, Andrew",23y 354d,69 (47-0-22 68.12%),34 (0.49),←,
44,"Milne, Stephen",30y 82d,198 (107-2-89 54.55%),398 (2.01),←,
11,"Montagna, Leigh",26y 208d,132 (85-1-46 64.77%),78 (0.59),←,
30,"Peake, Brett",26y 328d,82 (40-0-42 48.78%),46 (0.56),7 (6-0-1 85.71%),4 (0.57)
22,"Ray, Farren",24y 67d,109 (64-1-44 59.17%),39 (0.36),34 (29-0-5 85.29%),7 (0.21)
13,"Schneider, Adam",26y 17d,151 (98-1-52 65.23%),175 (1.16),53 (38-0-15 71.70%),76 (1.43)
28,"Stanley, Rhys",19y 179d,2 (2-0-0 100.00%),1 (0.50),←,
Totals,Totals,25y 346d,2429 (1450-20-959 59.70%),1446 (0.60),,
C,"Lyon, Ross",43y 202d,82 (54-1-27 66.46%),,←,
