Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",28y 348d,237 (132-2-103 56.12%),313 (1.32),45 (8-0-37 17.78%),51 (1.13)
3,"Brennan, Jared",28y 273d,163 (62-3-98 38.96%),95 (0.58),44 (7-0-37 15.91%),20 (0.45)
36,"Broughton, Greg",26y 210d,72 (31-0-41 43.06%),16 (0.22),4 (2-0-2 50.00%),1 (0.25)
12,"Day, Sam",20y 233d,27 (4-0-23 14.81%),15 (0.56),←,
23,"Dixon, Charlie",22y 216d,27 (7-0-20 25.93%),21 (0.78),←,
33,"Hall, Aaron",22y 169d,13 (4-0-9 30.77%),13 (1.00),←,
5,"Harbrow, Jarrod",24y 283d,110 (48-1-61 44.09%),27 (0.25),40 (8-0-32 20.00%),6 (0.15)
7,"Hunt, Karmichael",26y 161d,39 (5-0-34 12.82%),4 (0.10),←,
34,"Hutchins, Jack",21y 66d,10 (3-0-7 30.00%),1 (0.10),←,
19,"Lynch, Tom",20y 178d,31 (5-0-26 16.13%),29 (0.94),←,
32,"Matera, Brandon",21y 47d,34 (7-0-27 20.59%),31 (0.91),←,
17,"May, Steven",21y 107d,22 (4-0-18 18.18%),10 (0.45),←,
18,"McKenzie, Trent",21y 24d,40 (7-0-33 17.50%),17 (0.43),←,
29,"Murphy, Tom",27y 39d,99 (57-1-41 58.08%),5 (0.05),4 (2-0-2 50.00%),
1,"OMeara, Jaeger",19y 63d,5 (2-0-3 40.00%),4 (0.80),←,
10,"Prestia, Dion",20y 197d,35 (4-0-31 11.43%),4 (0.11),←,
35,"Rischitelli, Michael",27y 109d,151 (55-3-93 37.42%),64 (0.42),40 (6-0-34 15.00%),17 (0.43)
26,"Shaw, Matt",21y 81d,39 (7-0-32 17.95%),14 (0.36),←,
2,"Smith, Zac",23y 64d,41 (6-0-35 14.63%),24 (0.59),←,
25,"Stanley, Danny",25y 68d,41 (8-0-33 19.51%),22 (0.54),36 (7-0-29 19.44%),22 (0.61)
24,"Swallow, David",20y 159d,38 (7-0-31 18.42%),19 (0.50),←,
16,"Thompson, Rory",22y 46d,18 (3-0-15 16.67%),5 (0.28),←,
Totals,Totals,23y 110d,1292 (468-10-814 36.22%),753 (0.58),,
C,"McKenna, Guy",43y 351d,49 (8-0-41 16.33%),,←,
