Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",26y 347d,99 (63-1-35 64.14%),161 (1.63),←,
21,"Barlow, Michael",26y 192d,80 (52-1-27 65.63%),50 (0.63),←,
30,"Clarke, Zac",24y 92d,64 (33-1-30 52.34%),35 (0.55),←,
15,"Crowley, Ryan",30y 115d,178 (98-1-79 55.34%),115 (0.65),←,
3,"Dawson, Zac",28y 126d,131 (85-4-42 66.41%),7 (0.05),54 (39-1-14 73.15%),3 (0.06)
41,"Duffield, Paul",29y 143d,147 (77-1-69 52.72%),33 (0.22),←,
7,"Fyfe, Nat",22y 283d,84 (53-1-30 63.69%),65 (0.77),←,
32,"Hill, Stephen",24y 58d,121 (67-0-54 55.37%),77 (0.64),←,
5,"Ibbotson, Garrick",26y 105d,121 (59-1-61 49.17%),21 (0.17),←,
23,"Mayne, Chris",25y 238d,118 (68-1-49 58.05%),144 (1.22),←,
16,"Mundy, David",28y 343d,200 (108-1-91 54.25%),77 (0.38),←,
13,"Mzungu, Tendai",28y 120d,77 (47-1-29 61.69%),47 (0.61),←,
27,"Neale, Lachie",21y 35d,36 (21-0-15 58.33%),17 (0.47),←,
29,"Pavlich, Matthew",32y 179d,305 (145-0-160 47.54%),613 (2.01),←,
46,"Pearce, Clancee",23y 248d,76 (40-1-35 53.29%),31 (0.41),←,
6,"Pearce, Danyle",28y 82d,193 (87-2-104 45.60%),97 (0.50),39 (28-1-10 73.08%),21 (0.54)
31,"Sandilands, Aaron",31y 204d,207 (111-0-96 53.62%),79 (0.38),←,
34,"Spurr, Lee",26y 336d,50 (38-1-11 77.00%),3 (0.06),←,
8,"Suban, Nick",24y 50d,97 (52-1-44 54.12%),41 (0.42),←,
33,"Sutcliffe, Cam",22y 36d,37 (27-1-9 74.32%),9 (0.24),←,
4,"Sylvia, Colin",28y 232d,160 (51-2-107 32.50%),130 (0.81),3 (3-0-0 100.00%),1 (0.33)
20,"Taberner, Matthew",21y 11d,7 (4-0-3 57.14%),4 (0.57),←,
Totals,Totals,26y 162d,2588 (1386-22-1180 53.55%),1856 (0.72),,
C,"Lyon, Ross",47y 232d,184 (119-5-60 66.03%),,63 (43-1-19 69.05%),
