Notes,Previous,Current
Greater Western Sydney's highest score,"94 v Gold Coast - R7,2012","162 v Essendon - R23,2023"
Greater Western Sydney's biggest win,"27 v Gold Coast - R7,2012","126 v Essendon - R23,2023"
