North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Atley, Shaun",9,2,9,18,1,,,3.0,2.0,2.0,,2.0,1.0,,,4.0,14.0,,,3.0,2.0,1.0,90.0
3,"Bastinac, Ryan",10,1,17,27,,,,7.0,1.0,5.0,4.0,3.0,2.0,,,12.0,15.0,,,1.0,1.0,1.0,85.0
50,"Brown, Ben",9,4,3,12,,,7.0,3.0,1.0,2.0,,3.0,2.0,,,6.0,6.0,1.0,,3.0,,,79.0
10,"Cunnington, Ben",10,2,14,24,1,,,3.0,,,4.0,5.0,,1.0,,17.0,7.0,1.0,,1.0,,,80.0
15,"Dal Santo, Nick",12,2,12,24,,1.0,,3.0,3.0,2.0,4.0,,2.0,,,7.0,16.0,,1.0,,,1.0,81.0
11,"Firrito, Michael",15,7,4,19,,,,2.0,5.0,5.0,,2.0,,1.0,,2.0,18.0,,,5.0,,,91.0
27,"Garner, Taylor",7,2,5,12,2,3.0,,,,3.0,2.0,,,,,5.0,7.0,1.0,2.0,2.0,,1.0,72.0
43,"Gibson, Sam",10,5,8,18,1,,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,3.0,13.0,,,1.0,,1.0,83.0
22,"Goldstein, Todd",8,5,11,19,1,1.0,45.0,5.0,,2.0,8.0,1.0,6.0,,2.0,14.0,6.0,1.0,2.0,1.0,,2.0,84.0
29 ↑,"Harvey, Brent",6,2,8,14,,1.0,,2.0,1.0,4.0,2.0,,,,,5.0,10.0,,,1.0,1.0,1.0,36.0
4,"Higgins, Shaun",11,8,8,19,3,1.0,,4.0,2.0,4.0,,2.0,,1.0,1.0,4.0,16.0,1.0,4.0,1.0,1.0,2.0,91.0
5,"Jacobs, Ben",5,2,14,19,,,,6.0,,2.0,2.0,6.0,2.0,4.0,,7.0,12.0,,,2.0,,,87.0
34,"Macmillan, Jamie",8,5,10,18,1,,,3.0,3.0,2.0,,,,,,5.0,13.0,,,5.0,,1.0,93.0
41,"Mullett, Aaron",10,3,7,17,,,,3.0,4.0,1.0,,2.0,,,,4.0,13.0,,,1.0,1.0,,76.0
20,"Petrie, Drew",7,4,4,11,3,,,2.0,,2.0,,1.0,,1.0,,4.0,7.0,,3.0,,,,95.0
9,"Swallow, Andrew",11,3,13,24,2,,,12.0,4.0,,8.0,2.0,5.0,1.0,3.0,13.0,11.0,,1.0,1.0,,1.0,79.0
25,"Tarrant, Robbie",8,5,3,11,,,,,3.0,,,2.0,,1.0,,1.0,10.0,,,4.0,,,97.0
16,"Thompson, Scott",8,5,7,15,,,,3.0,4.0,,,2.0,,,,6.0,10.0,1.0,,4.0,,,94.0
40 ↓,"Turner, Kayne",2,3,5,7,1,,,3.0,2.0,1.0,1.0,1.0,1.0,,,4.0,4.0,,,1.0,,,44.0
30,"Waite, Jarrad",11,8,7,18,2,2.0,,3.0,,2.0,1.0,3.0,2.0,,,7.0,13.0,1.0,4.0,,,1.0,85.0
19,"Wright, Sam",9,6,11,20,,,,3.0,1.0,2.0,,2.0,2.0,2.0,,9.0,13.0,1.0,,4.0,,,94.0
7,"Ziebell, Jack",9,1,7,16,,,,8.0,1.0,3.0,5.0,3.0,,,,10.0,7.0,,,1.0,,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,195,85,187,382,18,12.0,52.0,79.0,38.0,49.0,42.0,43.0,26.0,13.0,6.0,149.0,241.0,8.0,17.0,42.0,6.0,13.0,
Opposition,Opposition,157,73,195,352,11,13.0,46.0,89.0,28.0,53.0,31.0,53.0,13.0,26.0,,129.0,223.0,12.0,13.0,43.0,9.0,7.0,
