Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44,"Bail, Rohan",10,4,3,13,,,,2.0,1.0,4.0,1.0,3.0,1.0,1.0,,4.0,9.0,,,,,1.0,85.0
10 ↓,"Brayshaw, Angus",,,,,,,,1.0,,,,,,,,,,,,,,,2.0
18,"Cross, Daniel",9,5,11,20,,,1.0,5.0,,,2.0,2.0,1.0,,,10.0,12.0,2.0,,5.0,,,96.0
6,"Dawes, Chris",6,3,,6,2,,,1.0,1.0,3.0,,,1.0,,,3.0,3.0,1.0,1.0,2.0,,,95.0
14,"Dunn, Lynden",10,3,2,12,,,,1.0,6.0,1.0,,5.0,1.0,3.0,,5.0,4.0,,,5.0,1.0,,100.0
20,"Garland, Colin",5,1,2,7,,,,5.0,,,,1.0,,,,3.0,3.0,,,5.0,,,81.0
36,"Garlett, Jeff",11,3,2,13,1,2.0,,10.0,1.0,5.0,1.0,3.0,,2.0,,6.0,7.0,,1.0,1.0,2.0,1.0,93.0
11,"Gawn, Max",4,3,6,10,,,27.0,1.0,,2.0,3.0,3.0,,2.0,,5.0,5.0,1.0,,1.0,,,87.0
1,"Hogan, Jesse",12,7,3,15,1,2.0,,,,3.0,,2.0,2.0,,,9.0,6.0,4.0,3.0,3.0,,2.0,82.0
38,"Howe, Jeremy",4,3,4,8,,,,,,,,1.0,,1.0,,1.0,6.0,,,4.0,,,81.0
39,"Jetta, Neville",3,,6,9,,,,1.0,1.0,,2.0,1.0,2.0,1.0,,3.0,7.0,,,1.0,,,89.0
45,"Jones, Matt",4,2,5,9,,,,3.0,,1.0,,4.0,,2.0,,2.0,6.0,,,1.0,2.0,,76.0
2,"Jones, Nathan",14,2,15,29,,,,5.0,1.0,6.0,7.0,3.0,2.0,,,12.0,18.0,,,2.0,,,80.0
25,"McDonald, Tom",8,4,3,11,,,,2.0,2.0,1.0,,2.0,,,,2.0,6.0,1.0,,7.0,,,95.0
30 ↑,"Neal-Bullen, Alex",8,3,8,16,2,,,1.0,1.0,4.0,,1.0,,,,5.0,10.0,,1.0,1.0,,,78.0
42,"Spencer, Jake",2,2,6,8,1,,12.0,2.0,,,2.0,2.0,,2.0,,2.0,6.0,,1.0,1.0,,,90.0
15,"Stretch, Billy",7,3,6,13,,,,2.0,2.0,,2.0,2.0,1.0,1.0,,3.0,10.0,,,1.0,,,89.0
5,"Toumpas, Jimmy",3,5,10,13,,,,3.0,,,1.0,2.0,,1.0,,4.0,9.0,,1.0,,,1.0,80.0
12,"Tyson, Dom",14,5,12,26,1,,,3.0,3.0,4.0,5.0,4.0,,,,9.0,17.0,,1.0,,,,76.0
23,"Vince, Bernie",16,3,10,26,,,,5.0,3.0,6.0,6.0,2.0,,2.0,,11.0,15.0,,,,,,88.0
7,"Viney, Jack",9,2,10,19,1,,,8.0,4.0,2.0,5.0,2.0,1.0,1.0,,11.0,8.0,,,,,,78.0
4,"Watts, Jack",10,7,12,22,,,,,4.0,3.0,,1.0,,1.0,,7.0,14.0,1.0,,1.0,,1.0,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,70,136,305,9,6.0,40.0,61.0,30.0,45.0,37.0,46.0,12.0,20.0,,117.0,181.0,10.0,9.0,41.0,5.0,6.0,
Opposition,Opposition,210,98,137,347,16,18.0,59.0,59.0,33.0,53.0,40.0,35.0,20.0,12.0,6.0,121.0,219.0,5.0,15.0,30.0,8.0,13.0,
