Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
19,"Beveridge, Luke",24y 312d,68 (39-1-28 58.09%),68 (1.00),26 (15-1-10 59.62%),27 (1.04)
18,"Cameron, Leon",22y 302d,98 (50-2-46 52.04%),43 (0.44),←,
16,"Croft, Matthew",22y 125d,32 (18-1-13 57.81%),17 (0.53),←,
3,"Grant, Chris",22y 200d,113 (60-2-51 53.98%),244 (2.16),←,
1,"Grgic, Ilija",23y 118d,43 (24-1-18 56.98%),62 (1.44),←,
29,"Griffin, Daryl",19y 159d,5 (1-1-3 30.00%),,←,
6,"Johnson, Brad",18y 348d,22 (10-1-11 47.73%),13 (0.59),←,
40,"Johnston, Michael",24y 135d,10 (9-0-1 90.00%),4 (0.40),2 (2-0-0 100.00%),
4,"Kellett, Nigel",25y 195d,68 (35-1-32 52.21%),26 (0.38),←,
12,"Koster, Kym",22y 150d,29 (15-1-13 53.45%),10 (0.34),←,
39,"Liberatore, Tony",29y 140d,141 (77-2-62 55.32%),71 (0.50),←,
27,"Macpherson, Stephen",30y 211d,187 (92-4-91 50.27%),152 (0.81),←,
13,"Nichol, Andrew",20y 212d,2 (1-1-0 75.00%),,←,
9,"Nicholson, Brad",21y 27d,19 (9-1-9 50.00%),1 (0.05),←,
44,"Osborne, Richard",31y 15d,234 (97-1-136 41.67%),509 (2.18),31 (16-1-14 53.23%),59 (1.90)
22,"Quill, Peter",25y 312d,34 (20-1-13 60.29%),13 (0.38),←,
5,"Smith, Rohan",22y 31d,43 (24-1-18 56.98%),23 (0.53),←,
8,"Southern, Daniel",20y 181d,34 (15-1-18 45.59%),7 (0.21),←,
17,"Standfield, Barry",25y 138d,87 (47-1-39 54.60%),34 (0.39),←,
7,"West, Scott",20y 229d,53 (27-1-25 51.89%),33 (0.62),←,
15,"Wynd, Scott",25y 157d,116 (58-2-56 50.86%),23 (0.20),←,
Totals,Totals,23y 280d,1438 (728-27-683 50.63%),1353 (0.94),,
C,"Joyce, Alan",52y 253d,128 (84-1-43 66.02%),,35 (17-1-17 50.00%),
