Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",26y 154d,92 (46-0-46 50.00%),16 (0.17),←,
26,"Bickley, Mark",33y 279d,255 (128-0-127 50.20%),75 (0.29),←,
35,"Biglands, Rhett",25y 248d,58 (32-0-26 55.17%),18 (0.31),←,
10,"Bode, Matthew",23y 315d,61 (31-0-30 50.82%),53 (0.87),32 (20-0-12 62.50%),28 (0.88)
5,"Burns, Ronnie",30y 58d,138 (73-2-63 53.62%),249 (1.80),4 (2-0-2 50.00%),10 (2.50)
2,"Carey, Wayne",31y 348d,250 (155-0-95 62.00%),686 (2.74),6 (3-0-3 50.00%),15 (2.50)
4,"Clarke, Matthew",29y 234d,187 (92-2-93 49.73%),28 (0.15),57 (30-0-27 52.63%),9 (0.16)
1,"Crowell, Andrew",25y 268d,42 (21-0-21 50.00%),15 (0.36),←,
9,"Edwards, Tyson",26y 277d,158 (82-0-76 51.90%),97 (0.61),←,
21,"Gallagher, James",23y 174d,20 (10-0-10 50.00%),7 (0.35),←,
36,"Goodwin, Simon",26y 135d,124 (68-0-56 54.84%),66 (0.53),←,
34,"Hart, Ben",28y 305d,256 (130-1-125 50.98%),42 (0.16),←,
18,"Johncock, Graham",20y 201d,32 (20-0-12 62.50%),17 (0.53),←,
40,"Ladhams, Chris",22y 201d,35 (20-0-15 57.14%),23 (0.66),←,
3,"Massie, Kris",22y 345d,61 (36-0-25 59.02%),16 (0.26),18 (10-0-8 55.56%),4 (0.22)
39,"Mattner, Martin",20y 277d,12 (7-0-5 58.33%),1 (0.08),←,
16,"McGregor, Ken",22y 101d,58 (28-0-30 48.28%),23 (0.40),←,
23,"McLeod, Andrew",26y 279d,176 (91-0-85 51.70%),190 (1.08),←,
22,"Perrie, Ian",24y 31d,43 (22-0-21 51.16%),37 (0.86),←,
32,"Ricciuto, Mark",27y 336d,223 (109-1-113 49.10%),184 (0.83),←,
20,"Stenglein, Tyson",22y 298d,70 (39-0-31 55.71%),15 (0.21),←,
15,"Torney, Jason",25y 328d,125 (63-1-61 50.80%),19 (0.15),7 (4-0-3 57.14%),3 (0.43)
Totals,Totals,25y 319d,2476 (1303-7-1166 52.63%),1877 (0.76),,
C,"Ayres, Gary",42y 224d,193 (106-1-86 55.18%),,77 (41-0-36 53.25%),
