Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",7,,3,10,2,,,2.0,1.0,5.0,3.0,1.0,1.0,1.0,,7.0,3.0,,,2.0,,,
11,"Archer, Glenn",11,6,4,15,2,,,,4.0,1.0,,1.0,1.0,1.0,,9.0,8.0,3.0,1.0,3.0,,,
26,"Bell, Peter",17,5,7,24,2,3.0,,,2.0,6.0,7.0,,,,,8.0,16.0,,1.0,1.0,,,
12,"Blakey, John",8,4,5,13,1,,2.0,1.0,,3.0,3.0,1.0,1.0,2.0,,6.0,7.0,1.0,,,1.0,,
16,"Capuano, Mathew",6,5,2,8,1,,25.0,,,2.0,3.0,1.0,2.0,2.0,,3.0,5.0,1.0,1.0,1.0,,,
23,"Clayton, Shane",6,3,2,8,,2.0,,2.0,1.0,2.0,2.0,,1.0,1.0,,2.0,7.0,,1.0,,,,
3,"Dhurrkay, Gary",1,1,,1,,,,,,,,,,,,1.0,,1.0,1.0,,,,
6,"Grant, Shannon",19,7,11,30,2,,,2.0,2.0,5.0,5.0,4.0,2.0,6.0,3.0,10.0,20.0,1.0,1.0,2.0,,,
29,"Harvey, Brent",18,3,8,26,2,1.0,,2.0,1.0,8.0,5.0,,5.0,1.0,2.0,13.0,12.0,1.0,1.0,2.0,1.0,,
34,"King, David",9,2,2,11,,,,,2.0,,,,,,,3.0,7.0,,,1.0,2.0,,
4,"Martyn, Mick",10,5,1,11,,,1.0,1.0,6.0,,,1.0,1.0,,,5.0,6.0,1.0,,1.0,,,
5,"McCartney, Jason",10,4,2,12,,,1.0,,4.0,,4.0,2.0,1.0,,,4.0,8.0,1.0,,2.0,,,
31,"McKernan, Corey",3,4,2,5,1,1.0,5.0,,,,2.0,,1.0,,,4.0,3.0,1.0,3.0,,,,
19,"Mooney, Cameron",1,1,2,3,,,3.0,,,,,1.0,,,,2.0,2.0,,,,,,
28,"Pickett, Byron",9,4,3,12,,,1.0,5.0,4.0,2.0,1.0,1.0,,2.0,,4.0,6.0,,1.0,1.0,4.0,,
13,"Pike, Martin",12,4,9,21,,,,1.0,8.0,1.0,,,1.0,1.0,,6.0,14.0,,,3.0,,,
39,"Rawlings, Brady",3,,4,7,1,,,,,,1.0,,,,,3.0,4.0,,,,,,
8,"Scott, Robert",2,,1,3,,,,2.0,,,,,1.0,,,2.0,,,,,,,
24,"Sholl, Craig",11,8,1,12,6,1.0,,,,2.0,,,,,1.0,5.0,7.0,1.0,6.0,1.0,,,
7,"Simpson, Adam",9,2,2,11,,,3.0,1.0,,7.0,2.0,2.0,1.0,,,3.0,9.0,1.0,,5.0,,,
10,"Stevens, Anthony",17,6,4,21,1,,,4.0,3.0,6.0,4.0,1.0,2.0,2.0,,8.0,12.0,1.0,,2.0,,,
30,"Welsh, Scott",2,3,1,3,1,,,2.0,,,,,,1.0,,1.0,3.0,1.0,1.0,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,191,77,76,267,22,9.0,41.0,25.0,38.0,50.0,42.0,16.0,21.0,20.0,6.0,109.0,159.0,15.0,18.0,27.0,8.0,,
Opposition,Opposition,172,73,86,258,12,13.0,21.0,18.0,26.0,53.0,37.0,25.0,20.0,21.0,,117.0,147.0,15.0,15.0,7.0,5.0,,
