Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",19y 221d,29 (6-0-23 20.69%),16 (0.55),←,
22,"Bain, David",25y 2d,48 (11-0-37 22.92%),33 (0.69),←,
25,"Campbell, Matthew",27y 94d,51 (12-0-39 23.53%),18 (0.35),←,
1,"Champion, Richard",23y 20d,6 (0-0-6 0.00%),1 (0.17),←,
2,"Curran, Peter",28y 293d,113 (81-0-32 71.68%),199 (1.76),4 (0-0-4 0.00%),3 (0.75)
4,"Gastev, John",26y 266d,74 (28-0-46 37.84%),55 (0.74),44 (11-0-33 25.00%),24 (0.55)
14,"Hamilton, Shane",20y 259d,33 (12-0-21 36.36%),47 (1.42),6 (0-0-6 0.00%),7 (1.17)
5,"Hardie, Brad",28y 206d,134 (50-0-84 37.31%),189 (1.41),87 (22-0-65 25.29%),161 (1.85)
9,"Ishchenko, Alex",27y 14d,66 (24-0-42 36.36%),24 (0.36),36 (8-0-28 22.22%),14 (0.39)
17,"Leslie, Martin",28y 168d,37 (9-0-28 24.32%),3 (0.08),←,
16,"Lester-Smith, Rod",31y 290d,108 (60-1-47 56.02%),38 (0.35),38 (8-0-30 21.05%),15 (0.39)
7,"McIvor, Scott",24y 268d,124 (45-0-79 36.29%),48 (0.39),69 (19-0-50 27.54%),33 (0.48)
19,"McLean, Michael",26y 62d,101 (47-2-52 47.52%),24 (0.24),6 (0-0-6 0.00%),1 (0.17)
24,"Merrett, Roger",31y 15d,211 (113-2-96 54.03%),228 (1.08),62 (16-0-46 25.81%),80 (1.29)
26,"Noonan, Danny",22y 156d,5 (0-0-5 0.00%),1 (0.20),←,
28,"OBrien, Cameron",24y 218d,39 (12-0-27 30.77%),54 (1.38),38 (12-0-26 31.58%),54 (1.42)
30,"Ryan, Matthew",23y 336d,59 (21-1-37 36.44%),56 (0.95),4 (0-0-4 0.00%),4 (1.00)
46,"Wearne, David",20y 359d,14 (2-0-12 14.29%),2 (0.14),←,
35,"Worsfold, Peter",20y 297d,3 (0-0-3 0.00%),3 (1.00),←,
21,"Zanotti, Mark",26y 177d,74 (25-0-49 33.78%),7 (0.09),38 (8-0-30 21.05%),1 (0.03)
Totals,Totals,25y 150d,1329 (558-6-765 41.99%),1046 (0.79),,
C,"Walls, Robert",40y 287d,205 (115-1-89 56.34%),,6 (0-0-6 0.00%),
