Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
25,"Bode, Matthew",8,3,3,11,1,1.0,,,,1.0,2.0,3.0,,1.0,,,,,,,,,
5,"Bond, Shane",8,2,5,13,,,,1.0,3.0,1.0,,1.0,,,,,,,,,,,
3,"Breuer, Shayne",7,1,4,11,2,,,,,5.0,3.0,,,,,,,,,,,,
7,"Chalmers, Brett",2,1,,2,,,,,,2.0,,,,1.0,,,,,,,,,
28,"Daniels, Stephen",2,1,2,4,,,,2.0,2.0,,,2.0,1.0,,,,,,,,,,
37,"Dew, Stuart",11,2,4,15,3,1.0,,1.0,,3.0,,2.0,1.0,,,,,,,,,,
19,"Dickie, Donald",4,,5,9,,,,3.0,,2.0,1.0,1.0,,,,,,,,,,,
11,"Eagleton, Nathan",14,5,3,17,3,,,1.0,1.0,6.0,,,2.0,,2.0,,,,,,,,
10,"Francou, Josh",7,,2,9,2,,,2.0,1.0,1.0,2.0,2.0,2.0,3.0,,,,,,,,,
39,"Heuskes, Adam",12,3,7,19,,,,1.0,8.0,,1.0,1.0,1.0,1.0,,,,,,,,,
29,"Kingsley, Adam",17,3,5,22,1,,2.0,1.0,1.0,5.0,3.0,,2.0,,,,,,,,,,
20,"Lade, Brendon",14,10,4,18,2,3.0,13.0,1.0,1.0,5.0,1.0,1.0,1.0,,3.0,,,,,,,,
22,"Lockwood, Bowen",10,3,7,17,,2.0,1.0,1.0,,7.0,3.0,2.0,1.0,2.0,,,,,,,,,
9,"Lyle, Brayden",10,3,5,15,,,,1.0,1.0,2.0,5.0,1.0,1.0,,,,,,,,,,
33,"Mead, Darren",4,1,6,10,,,5.0,2.0,1.0,,,4.0,1.0,2.0,,,,,,,,,
4,"Naish, Chris",7,2,3,10,1,,,,,2.0,,2.0,,2.0,,,,,,,,,
14,"Paxman, Stephen",5,2,3,8,1,,2.0,,1.0,1.0,,3.0,1.0,,,,,,,,,,
2,"Primus, Matthew",7,3,6,13,,1.0,21.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,
36,"Stevens, Nick",12,3,3,15,1,1.0,,,1.0,2.0,4.0,3.0,1.0,1.0,,,,,,,,,
16,"Tredrea, Warren",7,1,3,10,,,,2.0,,3.0,3.0,,,2.0,,,,,,,,,
1,"Wanganeen, Gavin",1,,,1,,,,,1.0,,,,,,,,,,,,,,
15,"Wilson, Michael",11,3,8,19,1,,1.0,5.0,,9.0,3.0,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,52,88,268,18,11.0,45.0,25.0,23.0,57.0,33.0,29.0,18.0,17.0,5.0,,,,,,,,
Opposition,Opposition,187,66,99,286,15,8.0,26.0,33.0,32.0,46.0,45.0,16.0,17.0,18.0,1.0,,,,,,,,
