Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Boak, Travis",9,2,11,20,1,,,6.0,,4.0,6.0,3.0,1.0,1.0,,6.0,13.0,,1.0,2.0,,,83.0
5,"Broadbent, Matthew",11,6,7,18,,,,5.0,2.0,,2.0,2.0,,1.0,,5.0,13.0,,,2.0,2.0,,86.0
17,"Clurey, Tom",3,2,5,8,,,,5.0,4.0,,,2.0,,2.0,,5.0,3.0,,,5.0,,,93.0
30 ↑,"Colquhoun, Sam",5,2,2,7,,,,,2.0,2.0,1.0,2.0,,,,2.0,5.0,,,,,,30.0
7,"Ebert, Brad",18,6,2,20,,1.0,2.0,5.0,4.0,9.0,1.0,3.0,1.0,,,4.0,16.0,,,1.0,,1.0,84.0
9,"Gray, Robbie",9,3,14,23,1,,,3.0,1.0,4.0,6.0,3.0,1.0,1.0,,14.0,13.0,,,3.0,,1.0,88.0
46,"Gray, Sam",7,2,14,21,,,,5.0,,,4.0,1.0,1.0,1.0,,12.0,8.0,1.0,,1.0,,,78.0
8,"Hartlett, Hamish",11,6,7,18,,1.0,,5.0,4.0,3.0,3.0,4.0,3.0,1.0,,9.0,11.0,,,1.0,1.0,,84.0
36,"Hombsch, Jack",4,5,5,9,,,,3.0,1.0,,,1.0,,,,2.0,8.0,,,10.0,,,93.0
24,"Impey, Jarman",7,3,6,13,,,,4.0,,4.0,1.0,2.0,1.0,1.0,,5.0,8.0,,,,2.0,,62.0
23 ↓,"Lobbe, Matthew",2,,,2,,,19.0,6.0,,2.0,1.0,1.0,2.0,1.0,,3.0,,,,4.0,,,60.0
26,"Moore, Andrew",9,4,7,16,,,,5.0,,,1.0,4.0,2.0,,,10.0,6.0,1.0,,3.0,,,86.0
3,"Neade, Jake",3,1,6,9,,,,4.0,4.0,1.0,,4.0,,2.0,,4.0,7.0,,1.0,,1.0,1.0,83.0
13,"OShea, Cameron",5,2,4,9,,,,3.0,5.0,1.0,,4.0,,3.0,,2.0,9.0,,,2.0,,,84.0
29,"Pittard, Jasper",5,4,7,12,,,,,2.0,1.0,1.0,4.0,,1.0,,2.0,11.0,,,3.0,,,78.0
4,"Ryder, Paddy",4,3,5,9,1,1.0,18.0,,,1.0,1.0,3.0,,1.0,,6.0,3.0,1.0,2.0,4.0,,,95.0
28,"Schulz, Jay",7,6,1,8,2,1.0,,2.0,,2.0,,3.0,1.0,3.0,,3.0,5.0,2.0,4.0,,,,99.0
12,"Trengove, Jackson",6,4,6,12,,,,2.0,5.0,,1.0,3.0,2.0,1.0,,6.0,6.0,1.0,,4.0,,,88.0
39,"Westhoff, Justin",10,3,9,19,1,,5.0,,1.0,4.0,2.0,2.0,,,,6.0,12.0,1.0,2.0,1.0,,1.0,95.0
19,"White, Matt",8,5,3,11,1,,,,,2.0,,1.0,,,,2.0,9.0,,1.0,1.0,,,81.0
20,"Wingard, Chad",11,4,4,15,2,,,,,4.0,,2.0,1.0,,,5.0,9.0,1.0,1.0,2.0,1.0,3.0,95.0
40,"Young, Aaron",6,3,11,17,,1.0,,2.0,1.0,2.0,4.0,3.0,1.0,3.0,,6.0,11.0,,,1.0,,,72.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,160,76,136,296,9,10.0,44.0,65.0,36.0,46.0,35.0,57.0,17.0,23.0,,119.0,186.0,8.0,12.0,50.0,7.0,7.0,
Opposition,Opposition,207,90,218,425,19,14.0,25.0,59.0,36.0,60.0,34.0,40.0,23.0,17.0,6.0,138.0,284.0,7.0,15.0,34.0,12.0,8.0,
