St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Baker, Steven",6,2,6,12,,,,2.0,1.0,4.0,5.0,1.0,1.0,,,6.0,6.0,1.0,,,,,
21,"Beetham, Caydn",8,3,,8,,,,,2.0,4.0,1.0,,,,,5.0,3.0,1.0,,,,,
3,"Burke, Nathan",9,1,3,12,1,1.0,,,,3.0,1.0,1.0,1.0,1.0,,4.0,8.0,,,3.0,,,
11,"Callaghan, Craig",12,6,2,14,4,2.0,,,1.0,4.0,1.0,1.0,1.0,,,5.0,8.0,1.0,2.0,1.0,,,
16,"Capuano, Mathew",7,6,3,10,1,,8.0,,3.0,,,,,,,4.0,6.0,1.0,,3.0,,,
10,"Everitt, Peter",9,3,1,10,,1.0,23.0,1.0,3.0,1.0,1.0,,1.0,,,5.0,4.0,1.0,,2.0,,,
37,"Gale, Mark",3,1,1,4,,,,,1.0,1.0,,,1.0,1.0,,1.0,3.0,,,,,,
9,"Gehrig, Fraser",5,3,2,7,,,,1.0,3.0,1.0,,2.0,,,,3.0,5.0,,,,,,
25,"Hall, Barry",5,4,2,7,,1.0,,,,,,1.0,1.0,,,3.0,4.0,1.0,3.0,,,,
2,"Hamill, Aaron",7,5,3,10,2,,,2.0,,3.0,,,1.0,2.0,,5.0,5.0,,2.0,2.0,,,
35,"Harvey, Robert",11,4,12,23,3,2.0,,,1.0,3.0,10.0,,,1.0,1.0,12.0,11.0,,3.0,,,,
7,"Hayes, Lenny",11,5,7,18,,1.0,,3.0,2.0,6.0,3.0,,2.0,,,8.0,10.0,,,3.0,1.0,,
5,"Jones, Austinn",15,2,2,17,3,1.0,,3.0,1.0,4.0,4.0,1.0,2.0,1.0,,7.0,9.0,,1.0,1.0,1.0,,
24,"Koschitzke, Justin",4,1,1,5,,,,,1.0,2.0,,2.0,,,,,5.0,,,,1.0,,
15,"Lawrence, Steven",9,6,4,13,1,,,1.0,1.0,2.0,1.0,,1.0,,,5.0,8.0,1.0,1.0,1.0,,,
23,"Loewe, Stewart",5,4,6,11,,,2.0,,,3.0,1.0,1.0,,,,8.0,3.0,2.0,,,,,
43,"Moyle, Brett",14,9,9,23,,,,1.0,2.0,7.0,2.0,,,1.0,,4.0,19.0,,1.0,1.0,,,
1,"Peckett, Justin",11,3,3,14,,,,1.0,2.0,2.0,1.0,,2.0,1.0,,2.0,8.0,,,2.0,,,
17,"Plapp, Justin",10,2,5,15,,,,,1.0,,,,1.0,1.0,,6.0,8.0,,,,,,
4,"Thompson, Andrew",9,2,6,15,1,,,5.0,1.0,1.0,2.0,2.0,2.0,2.0,,7.0,8.0,,1.0,,,,
32,"Traianidis, Jason",4,1,1,5,,1.0,,1.0,,3.0,,,,,,2.0,3.0,,,1.0,,,
13,"Voss, Brett",8,5,6,14,,,,3.0,,2.0,1.0,2.0,1.0,1.0,,11.0,3.0,3.0,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,78,85,267,16,11.0,33.0,24.0,26.0,56.0,34.0,14.0,18.0,12.0,1.0,113.0,147.0,12.0,14.0,20.0,3.0,,
Opposition,Opposition,204,96,108,312,19,11.0,29.0,25.0,38.0,52.0,37.0,24.0,12.0,18.0,5.0,126.0,185.0,19.0,19.0,24.0,11.0,,
