Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
15,"Allan, Ben",24y 242d,64 (42-0-22 65.63%),45 (0.70),←,
8,"Allen, Tim",22y 245d,24 (16-0-8 66.67%),13 (0.54),2 (1-0-1 50.00%),
7,"Ayres, Gary",32y 259d,261 (190-1-70 72.99%),70 (0.27),←,
29,"Baxter, Darren",28y 87d,137 (68-3-66 50.73%),28 (0.20),8 (5-0-3 62.50%),
5,"Collins, Andrew",28y 50d,134 (97-0-37 72.39%),33 (0.25),←,
3,"Condon, Anthony",25y 190d,91 (65-0-26 71.43%),33 (0.36),←,
26,"Cooper, Paul",25y 69d,37 (25-0-12 67.57%),3 (0.08),←,
9,"Crawford, Shane",18y 278d,10 (6-0-4 60.00%),10 (1.00),←,
19,"Dunstall, Jason",28y 304d,178 (136-0-42 76.40%),843 (4.74),←,
16,"Gowers, Andrew",24y 64d,55 (39-0-16 70.91%),31 (0.56),←,
6,"Hall, Tony",28y 271d,87 (67-0-20 77.01%),133 (1.53),←,
17,"Hudson, Paul",22y 329d,62 (44-0-18 70.97%),125 (2.02),←,
11,"Jarman, Darren",26y 137d,57 (38-0-19 66.67%),84 (1.47),←,
1,"Jencke, Ray",27y 81d,127 (90-0-37 70.87%),24 (0.19),←,
24,"Langford, Chris",30y 163d,227 (169-1-57 74.67%),31 (0.14),←,
12,"Lawrence, Stephen",24y 53d,76 (51-0-25 67.11%),17 (0.22),←,
21,"Nugent, Glenn",21y 218d,12 (9-0-3 75.00%),7 (0.58),←,
18,"Pritchard, Darrin",27y 85d,136 (99-0-37 72.79%),75 (0.55),←,
25,"Taylor, Jason",24y 264d,30 (15-0-15 50.00%),15 (0.50),23 (14-0-9 60.87%),11 (0.48)
4,"Taylor, Richard",19y 335d,4 (3-0-1 75.00%),4 (1.00),←,
Totals,Totals,25y 223d,1809 (1269-5-535 70.15%),1624 (0.90),,
C,"Joyce, Alan",50y 236d,82 (60-0-22 73.17%),,←,
