Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",31y 72d,274 (148-2-124 54.38%),368 (1.34),82 (24-0-58 29.27%),106 (1.29)
11,"Bennell, Harley",22y 296d,76 (18-0-58 23.68%),88 (1.16),←,
12,"Day, Sam",22y 322d,72 (21-0-51 29.17%),48 (0.67),←,
23,"Dixon, Charlie",24y 305d,60 (18-0-42 30.00%),84 (1.40),←,
34,"Glenn, Josh",21y 137d,4 (1-0-3 25.00%),1 (0.25),←,
33,"Hall, Aaron",24y 258d,55 (20-0-35 36.36%),51 (0.93),←,
28,"Kolodjashnij, Kade",19y 350d,34 (9-0-25 26.47%),8 (0.24),←,
40,"Lemmens, Sean",20y 265d,31 (10-0-21 32.26%),6 (0.19),←,
37,"Lonergan, Jesse",20y 253d,25 (6-0-19 24.00%),3 (0.12),←,
19,"Lynch, Tom",22y 267d,74 (20-0-54 27.03%),106 (1.43),←,
7,"Malceski, Nick",30y 344d,186 (117-2-67 63.44%),68 (0.37),10 (1-0-9 10.00%),1 (0.10)
32,"Matera, Brandon",23y 136d,68 (19-0-49 27.94%),74 (1.09),←,
17,"May, Steven",23y 196d,65 (20-0-45 30.77%),15 (0.23),←,
18,"McKenzie, Trent",23y 113d,90 (25-0-65 27.78%),20 (0.22),←,
44,"Miller, Touk",19y 153d,16 (2-0-14 12.50%),6 (0.38),←,
35,"Rischitelli, Michael",29y 198d,194 (69-3-122 36.34%),85 (0.44),83 (20-0-63 24.10%),38 (0.46)
8,"Russell, Luke",23y 182d,64 (15-0-49 23.44%),26 (0.41),←,
20,"Schade, Henry",21y 290d,10 (2-0-8 20.00%),,←,
6,"Sexton, Alex",21y 234d,37 (9-0-28 24.32%),18 (0.49),←,
26,"Shaw, Matt",23y 170d,81 (21-0-60 25.93%),28 (0.35),←,
2,"Smith, Zac",25y 153d,62 (12-0-50 19.35%),31 (0.50),←,
16,"Thompson, Rory",24y 135d,61 (17-0-44 27.87%),7 (0.11),←,
Totals,Totals,23y 269d,1639 (599-7-1033 36.55%),1141 (0.70),,
C,"Eade, Rodney",57y 112d,330 (171-4-155 52.42%),,16 (2-0-14 12.50%),
