Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ballard, Charlie",10,8,2,12,,,,,4.0,,,5.0,1.0,1.0,,2.0,9.0,1.0,,8.0,,,88.0
7,"Brodie, Will",12,7,10,22,1,1.0,,3.0,,3.0,3.0,2.0,1.0,,,6.0,17.0,,1.0,,,,81.0
19,"Corbett, Josh",7,6,1,8,,,,,,1.0,,3.0,,2.0,,1.0,6.0,,,1.0,,,89.0
12,"Day, Sam",6,7,9,15,1,,9.0,4.0,,2.0,1.0,2.0,2.0,,,12.0,4.0,4.0,1.0,1.0,,1.0,80.0
8,"Fiorini, Brayden",16,3,3,19,,,,5.0,2.0,3.0,2.0,4.0,,,,4.0,14.0,,,,,1.0,78.0
1,"Hanley, Pearce",8,3,8,16,,1.0,,5.0,5.0,1.0,,4.0,,2.0,,3.0,12.0,,,1.0,,,87.0
5,"Harbrow, Jarrod",15,5,4,19,,,,,3.0,2.0,,3.0,,2.0,,5.0,12.0,,,4.0,1.0,,87.0
40,"Heron, Jacob",5,2,3,8,,,,2.0,1.0,2.0,,1.0,,,,1.0,7.0,,,,,,86.0
20,"Hombsch, Jack",4,4,1,5,,,,1.0,1.0,,,,,,,1.0,5.0,,,4.0,,,91.0
38,"Joyce, Jesse",13,8,9,22,,,,,4.0,1.0,,4.0,,1.0,,9.0,14.0,1.0,,4.0,,,83.0
34,"King, Ben",2,1,2,4,,,,2.0,,2.0,,,1.0,,,4.0,,1.0,,2.0,,,85.0
41,"Lukosius, Jack",10,8,6,16,,,,,2.0,1.0,,1.0,,1.0,,6.0,9.0,,,5.0,,,81.0
44,"Macpherson, Darcy",16,3,8,24,2,,,5.0,1.0,2.0,2.0,6.0,3.0,2.0,,8.0,16.0,,1.0,2.0,,1.0,85.0
4,"Martin, Jack",12,7,5,17,1,,,4.0,2.0,,1.0,3.0,1.0,1.0,,6.0,10.0,1.0,1.0,1.0,,,89.0
2,"Miles, Anthony",12,5,9,21,1,,,3.0,1.0,4.0,3.0,3.0,2.0,1.0,,12.0,11.0,1.0,1.0,,,1.0,82.0
11,"Miller, Touk",7,2,13,20,,,,6.0,1.0,1.0,3.0,2.0,1.0,,,11.0,11.0,,,3.0,,,84.0
27,"Powell, Wil",,,,,,,,1.0,,,,,,,,,,,,,,,18.0
18,"Scheer, Brad",7,2,,7,,,,1.0,,1.0,1.0,2.0,,1.0,,1.0,6.0,,,,,,83.0
6,"Sexton, Alex",8,4,4,12,,,,3.0,,1.0,1.0,4.0,,1.0,,5.0,8.0,1.0,,4.0,,,96.0
24,"Swallow, David",15,4,15,30,1,,,3.0,1.0,8.0,7.0,,1.0,,,13.0,18.0,,1.0,1.0,,1.0,81.0
14,"Weller, Lachie",12,7,11,23,1,,,2.0,3.0,3.0,3.0,1.0,1.0,1.0,,7.0,15.0,,,2.0,1.0,1.0,93.0
28,"Witts, Jarrod",11,4,8,19,1,1.0,36.0,2.0,2.0,1.0,10.0,5.0,3.0,3.0,,15.0,3.0,2.0,1.0,2.0,,,72.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,100,131,339,9,4.0,45.0,52.0,33.0,39.0,37.0,55.0,17.0,19.0,,132.0,207.0,12.0,7.0,45.0,2.0,6.0,
Opposition,Opposition,224,103,191,415,23,12.0,34.0,58.0,28.0,57.0,41.0,58.0,19.0,17.0,6.0,148.0,269.0,9.0,23.0,55.0,8.0,20.0,
