Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",22y 132d,44 (8-0-36 18.18%),32 (0.73),←,
15,"Anderson, Noah",19y 125d,3 (2-0-1 66.67%),1 (0.33),←,
10,"Ballard, Charlie",20y 334d,34 (6-0-28 17.65%),1 (0.03),←,
3,"Bowes, Jack",22y 147d,45 (10-0-35 22.22%),12 (0.27),←,
35,"Budarick, Connor",19y 76d,3 (2-0-1 66.67%),1 (0.33),←,
25,"Collins, Sam",26y 6d,26 (8-0-18 30.77%),,12 (5-0-7 41.67%),
12,"Day, Sam",27y 289d,123 (34-1-88 28.05%),87 (0.71),←,
4,"Ellis, Brandon",26y 323d,178 (110-1-67 62.08%),58 (0.33),2 (1-0-1 50.00%),
21,"Greenwood, Hugh",28y 107d,54 (32-1-21 60.19%),37 (0.69),3 (2-0-1 66.67%),1 (0.33)
1,"Hanley, Pearce",31y 219d,163 (46-0-117 28.22%),60 (0.37),34 (8-0-26 23.53%),2 (0.06)
5,"Harbrow, Jarrod",31y 339d,247 (86-2-159 35.22%),54 (0.22),177 (46-1-130 26.27%),33 (0.19)
39,"Holman, Nick",25y 23d,46 (10-0-36 21.74%),22 (0.48),37 (9-0-28 24.32%),22 (0.59)
34,"King, Ben",19y 350d,17 (2-0-15 11.76%),22 (1.29),←,
13,"Lukosius, Jack",19y 317d,24 (5-0-19 20.83%),4 (0.17),←,
44,"Macpherson, Darcy",22y 236d,42 (8-0-34 19.05%),24 (0.57),←,
11,"Miller, Touk",24y 120d,103 (22-1-80 21.84%),29 (0.28),←,
27,"Powell, Wil",20y 300d,22 (6-0-16 27.27%),9 (0.41),←,
18,"Rowell, Matt",18y 356d,3 (2-0-1 66.67%),4 (1.33),←,
6,"Sexton, Alex",26y 201d,121 (30-0-91 24.79%),111 (0.92),←,
24,"Swallow, David",27y 215d,141 (35-0-106 24.82%),69 (0.49),←,
14,"Weller, Lachie",24y 119d,89 (22-0-67 24.72%),25 (0.28),42 (8-0-34 19.05%),8 (0.19)
28,"Witts, Jarrod",27y 282d,105 (33-0-72 31.43%),25 (0.24),65 (15-0-50 23.08%),7 (0.11)
Totals,Totals,24y 110d,1633 (519-6-1108 31.78%),687 (0.42),,
C,"Dew, Stuart",40y 308d,47 (9-0-38 19.15%),,←,
