St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",22y 353d,38 (18-1-19 48.68%),20 (0.53),←,
10,"Baker, Steven",31y 13d,200 (104-4-92 53.00%),34 (0.17),←,
26,"Dal Santo, Nick",27y 102d,203 (119-5-79 59.85%),107 (0.53),←,
6,"Dawson, Zac",25y 102d,66 (38-3-25 59.85%),3 (0.05),52 (34-3-15 68.27%),3 (0.06)
24,"Dempster, Sean",27y 135d,106 (63-3-40 60.85%),16 (0.15),52 (28-3-21 56.73%),8 (0.15)
25,"Fisher, Sam",28y 329d,154 (96-4-54 63.64%),19 (0.12),←,
19,"Gilbert, Sam",24y 289d,97 (61-4-32 64.95%),16 (0.16),←,
18,"Goddard, Brendon",26y 15d,172 (107-3-62 63.08%),84 (0.49),←,
33,"Gwilt, James",24y 297d,77 (48-3-26 64.29%),19 (0.25),←,
4,"Jones, Clinton",27y 122d,84 (57-4-23 70.24%),26 (0.31),←,
37,"Ledger, Tom",19y 79d,1 (0-0-1 0.00%),,←,
5,"McEvoy, Ben",21y 328d,40 (28-2-10 72.50%),12 (0.30),←,
44,"Milne, Stephen",31y 88d,223 (120-5-98 54.93%),454 (2.04),←,
11,"Montagna, Leigh",27y 214d,157 (98-4-55 63.69%),92 (0.59),←,
30,"Peake, Brett",27y 334d,104 (52-3-49 51.44%),57 (0.55),29 (18-3-8 67.24%),15 (0.52)
34,"Polo, Dean",24y 303d,60 (20-2-38 35.00%),13 (0.22),4 (2-0-2 50.00%),2 (0.50)
22,"Ray, Farren",25y 73d,133 (77-4-52 59.40%),44 (0.33),58 (42-3-13 75.00%),12 (0.21)
12,"Riewoldt, Nick",28y 230d,207 (113-5-89 55.80%),451 (2.18),←,
13,"Schneider, Adam",27y 23d,174 (111-3-60 64.66%),212 (1.22),76 (51-2-23 68.42%),113 (1.49)
31,"Simpkin, Tom",20y 301d,1 (0-0-1 0.00%),,←,
2,"Siposs, Arryn",18y 191d,5 (2-0-3 40.00%),5 (1.00),←,
3,"Steven, Jack",21y 68d,17 (8-1-8 50.00%),18 (1.06),←,
Totals,Totals,25y 165d,2319 (1340-63-916 57.78%),1702 (0.73),,
C,"Lyon, Ross",44y 208d,108 (67-4-37 63.89%),,←,
