Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
11,"Banner, Mitchell",20y 329d,11 (4-0-7 36.36%),5 (0.45),←,
5,"Broadbent, Matthew",20y 272d,20 (7-0-13 35.00%),5 (0.25),←,
20,"Brogan, Dean",32y 137d,167 (97-1-69 58.38%),50 (0.30),←,
27,"Carlile, Alipate",24y,80 (34-0-46 42.50%),4 (0.05),←,
30,"Chaplin, Troy",25y 66d,107 (48-1-58 45.33%),9 (0.08),←,
35,"Cornes, Chad",31y 169d,235 (133-1-101 56.81%),170 (0.72),←,
18,"Cornes, Kane",28y 115d,210 (115-1-94 55.00%),80 (0.38),←,
33,"Ebert, Brett",27y 163d,141 (67-1-73 47.87%),209 (1.48),←,
17,"Gray, Robbie",23y 31d,52 (23-0-29 44.23%),79 (1.52),←,
8,"Hartlett, Hamish",20y 259d,19 (7-0-12 36.84%),9 (0.47),←,
2,"Hitchcock, Cameron",20y 301d,22 (7-0-15 31.82%),20 (0.91),←,
44,"Logan, Tom",25y 302d,78 (29-0-49 37.18%),20 (0.26),75 (29-0-46 38.67%),20 (0.27)
4,"Motlop, Daniel",29y 45d,121 (49-1-71 40.91%),202 (1.67),74 (29-0-45 39.19%),149 (2.01)
13,"OShea, Cameron",19y 48d,6 (1-0-5 16.67%),1 (0.17),←,
36,"Pettigrew, Michael",26y 45d,94 (43-0-51 45.74%),25 (0.27),←,
29,"Pittard, Jasper",20y 29d,6 (1-0-5 16.67%),,←,
15,"Rodan, David",27y 204d,156 (60-0-96 38.46%),120 (0.77),91 (41-0-50 45.05%),77 (0.85)
14,"Stewart, Paul",23y 294d,43 (16-0-27 37.21%),4 (0.09),←,
9,"Surjan, Jacob",25y 258d,103 (50-0-53 48.54%),16 (0.16),←,
21,"Thomas, Matt",24y 62d,55 (19-0-36 34.55%),16 (0.29),←,
12,"Trengove, Jackson",20y 179d,25 (8-0-17 32.00%),4 (0.16),←,
39,"Westhoff, Justin",24y 211d,75 (34-0-41 45.33%),102 (1.36),←,
Totals,Totals,24y 226d,1826 (852-6-968 46.66%),1150 (0.63),,
C,"Primus, Matthew",36y 108d,13 (6-0-7 46.15%),,←,
