Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",15,4,9,24,1,2.0,,4.0,,,,,2.0,,,,,,,,,,
25,"Bews, Andrew",4,,4,8,,,,2.0,,,,,,1.0,,,,,,,,,
1,"Champion, Richard",7,3,2,9,,,1.0,,,,,,2.0,1.0,,,,,,,,,
16,"Clarke, Matthew",4,1,4,8,,,2.0,1.0,,,,,1.0,,,,,,,,,,
12,"Clarke, Troy",7,2,10,17,,1.0,,1.0,,,,,,1.0,3.0,,,,,,,,
20,"Craven, Danny",9,,8,17,,,,3.0,,,,,,,,,,,,,,,
6,"Fletcher, Adrian",4,1,5,9,,,,,,,,,3.0,2.0,,,,,,,,,
29,"Francis, Fabian",9,,4,13,2,1.0,,3.0,,,,,,3.0,,,,,,,,,
41,"Kennedy, Matthew",10,3,3,13,1,,2.0,1.0,,,,,2.0,,,,,,,,,,
18,"Lambert, Craig",5,,12,17,1,,,6.0,,,,,2.0,3.0,,,,,,,,,
44,"Lappin, Nigel",17,4,4,21,1,,,,,,,,2.0,,,,,,,,,,
15,"Lehmann, Troy",6,,2,8,1,1.0,,2.0,,,,,1.0,,,,,,,,,,
17,"Leslie, Martin",6,5,11,17,,,1.0,,,,,,2.0,1.0,,,,,,,,,
11,"Lynch, Alastair",13,7,5,18,8,3.0,,,,,,,3.0,1.0,1.0,,,,,,,,
7,"McIvor, Scott",11,4,4,15,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
19,"McLean, Michael",6,1,5,11,,,,1.0,,,,,2.0,,,,,,,,,,
24,"Merrett, Roger",15,9,6,21,5,5.0,4.0,1.0,,,,,3.0,1.0,,,,,,,,,
8,"Peos, Paul",2,2,,2,1,1.0,,,,,,,,,,,,,,,,,
22,"Scott, Chris",13,3,1,14,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
9,"Starcevich, Craig",7,6,10,17,1,,,,,,,,2.0,,2.0,,,,,,,,
33,"White, Darryl",6,5,9,15,,,4.0,,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,176,60,118,294,22,19.0,14.0,28.0,,,,,30.0,19.0,6.0,,,,,,,,
Opposition,Opposition,151,43,97,248,15,8.0,20.0,37.0,,,,,19.0,30.0,,,,,,,,,
