Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
4,"Ah Chee, Callum",27y 185d,148 (85-1-62 57.77%),82 (0.55),103 (77-1-25 75.24%),58 (0.56)
31,"Andrews, Harris",28y 122d,217 (111-1-105 51.38%),11 (0.05),←,
43,"Answerth, Noah",25y 249d,76 (55-0-21 72.37%),2 (0.03),←,
10,"Ashcroft, Levi",18y 115d,5 (5-0-0 100.00%),3 (0.60),←,
8,"Ashcroft, Will",20y 341d,36 (29-0-7 80.56%),14 (0.39),←,
33,"Bailey, Zac",25y 201d,145 (99-0-46 68.28%),155 (1.07),←,
7,"Berry, Jarrod",27y 66d,165 (98-1-66 59.70%),66 (0.40),←,
23,"Cameron, Charlie",30y 281d,232 (151-2-79 65.52%),408 (1.76),159 (104-1-54 65.72%),321 (2.02)
14,"Day, Sam",32y 218d,159 (50-2-107 32.08%),117 (0.74),4 (4-0-0 100.00%),
5,"Dunkley, Josh",28y 93d,172 (106-1-65 61.92%),75 (0.44),56 (41-1-14 74.11%),10 (0.18)
3,"Fletcher, Jaspa",21y 47d,46 (34-1-11 75.00%),15 (0.33),←,
30,"Hipwood, Eric",27y 211d,182 (104-1-77 57.42%),272 (1.49),←,
35,"Lester, Ryan",32y 229d,212 (104-1-107 49.29%),47 (0.22),←,
6,"McCluggage, Hugh",27y 40d,187 (111-1-75 59.63%),118 (0.63),←,
46,"McInerney, Oscar",30y 276d,155 (101-1-53 65.48%),64 (0.41),←,
28,"McLachlan, Will",19y 364d,3 (3-0-0 100.00%),2 (0.67),←,
13,"Morris, Logan",19y 337d,24 (20-1-3 85.42%),35 (1.46),←,
9,"Neale, Lachie",31y 323d,277 (163-1-113 59.03%),129 (0.47),142 (98-1-43 69.37%),62 (0.44)
40,"Payne, Jack",25y 179d,73 (49-1-23 67.81%),2 (0.03),←,
16,"Rayner, Cam",25y 173d,145 (92-1-52 63.79%),138 (0.95),←,
38,"Reville, Bruce",24y 49d,16 (14-1-1 90.63%),6 (0.38),←,
44,"Wilmot, Darcy",21y 102d,61 (44-1-16 72.95%),7 (0.11),←,
15,"Zorko, Dayne",36y 62d,282 (139-1-142 49.47%),236 (0.84),←,
Totals,Totals,26y 169d,3018 (1767-20-1231 58.55%),2004 (0.66),,
C,"Fagan, Chris",63y 293d,194 (115-1-78 59.54%),,←,
