Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Biddiscombe, Craig",17,5,5,22,,,,1.0,3.0,4.0,3.0,1.0,2.0,1.0,,7.0,14.0,1.0,,,,,
30,"Bourke, David",12,4,2,14,,,2.0,1.0,5.0,1.0,,2.0,2.0,1.0,,4.0,9.0,,,,,,
11,"Bowden, Joel",11,1,6,17,,,2.0,4.0,1.0,2.0,6.0,5.0,1.0,1.0,,6.0,8.0,,,2.0,,,
17,"Broderick, Paul",10,3,9,19,,,1.0,2.0,3.0,3.0,7.0,1.0,,,,2.0,19.0,,,2.0,,,
15,"Cameron, Leon",8,5,6,14,,,,1.0,3.0,2.0,1.0,1.0,,1.0,,5.0,9.0,,,,,,
6,"Chaffey, Mark",13,4,6,19,,,,3.0,2.0,3.0,1.0,1.0,,,,6.0,14.0,,,1.0,,,
10,"Daffy, Nick",17,2,5,22,2,3.0,,1.0,,5.0,5.0,4.0,1.0,1.0,,11.0,12.0,,1.0,1.0,,,
7,"Dragicevic, Marc",4,,3,7,1,,,4.0,,1.0,,2.0,,2.0,,3.0,5.0,,,,,,
14,"Fiora, Aaron",1,,2,3,,,,,,,,2.0,1.0,,,3.0,,,,,,,
20,"Harrison, Ben",8,3,4,12,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,5.0,7.0,,,,,,
1,"Hilton, Rory",17,6,4,21,,1.0,,1.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,9.0,13.0,,,2.0,5.0,,
16,"Holland, Ben",13,5,11,24,4,2.0,5.0,2.0,2.0,3.0,5.0,4.0,,,1.0,10.0,13.0,1.0,3.0,3.0,,,
39,"Kellaway, Andrew",15,10,9,24,,,,2.0,7.0,2.0,,,3.0,,,9.0,16.0,2.0,,2.0,,,
3,"Kellaway, Duncan",11,2,14,25,,,3.0,2.0,2.0,5.0,7.0,3.0,1.0,1.0,,18.0,7.0,,,2.0,,,
21,"King, Clinton",10,4,9,19,,,,2.0,,1.0,2.0,,,,,6.0,12.0,,,1.0,4.0,,
33,"Knights, Matthew",13,2,12,25,,1.0,,3.0,1.0,5.0,2.0,2.0,1.0,1.0,,13.0,12.0,1.0,,1.0,,,
5,"Ottens, Brad",6,5,6,12,1,1.0,24.0,,,2.0,4.0,1.0,,4.0,,9.0,4.0,1.0,2.0,1.0,,,
26,"Poyas, Ezra",,,,,,,,2.0,,,,1.0,,,,,,,,,,,
4,"Rogers, Matthew",7,2,2,9,3,,,1.0,,3.0,2.0,,,,,2.0,4.0,,,2.0,,,
32,"Tivendale, Greg",6,3,4,10,,1.0,,1.0,,2.0,,1.0,,,,3.0,7.0,,,3.0,,,
29,"Torney, Jason",10,4,4,14,,,,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,6.0,8.0,1.0,,3.0,1.0,,
42,"Vardy, Royce",7,4,6,13,,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,,8.0,5.0,1.0,,1.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,74,129,345,11,13.0,39.0,40.0,41.0,50.0,50.0,39.0,15.0,17.0,4.0,145.0,198.0,8.0,6.0,27.0,10.0,,
Opposition,Opposition,179,68,127,306,9,16.0,33.0,45.0,36.0,57.0,36.0,35.0,17.0,15.0,2.0,119.0,179.0,10.0,16.0,40.0,16.0,,
