Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",26y 61d,141 (62-3-76 45.04%),365 (2.59),←,
3,"Coniglio, Stephen",25y 168d,128 (61-1-66 48.05%),76 (0.59),←,
13,"Cumming, Isaac",20y 294d,5 (3-0-2 60.00%),,←,
16,"Daniels, Brent",20y 84d,18 (13-0-5 72.22%),9 (0.50),←,
1,"Davis, Phil",28y 275d,152 (75-3-74 50.33%),6 (0.04),134 (64-3-67 48.88%),5 (0.04)
24,"de Boer, Matt",29y 83d,179 (104-4-71 59.22%),74 (0.41),41 (26-3-12 67.07%),26 (0.63)
7,"Deledio, Brett",32y 44d,266 (126-6-134 48.50%),195 (0.73),23 (16-1-6 71.74%),13 (0.57)
31,"Finlayson, Jeremy",23y 112d,26 (14-2-10 57.69%),28 (1.08),←,
4,"Greene, Toby",25y 249d,133 (59-1-73 44.74%),147 (1.11),←,
19,"Haynes, Nick",27y 14d,115 (57-3-55 50.87%),9 (0.08),←,
27,"Himmelberg, Harry",23y 24d,51 (34-1-16 67.65%),56 (1.10),←,
2,"Hopper, Jacob",22y 115d,55 (36-1-18 66.36%),22 (0.40),←,
25,"Keeffe, Lachlan",29y 48d,51 (29-0-22 56.86%),11 (0.22),11 (4-0-7 36.36%),4 (0.36)
22,"Kelly, Josh",24y 109d,108 (62-2-44 58.33%),67 (0.62),←,
40,"Kennedy, Adam",26y 324d,103 (40-0-63 38.83%),9 (0.09),←,
41,"Mumford, Shane",32y 331d,180 (117-4-59 66.11%),52 (0.29),80 (48-2-30 61.25%),13 (0.16)
36,"Perryman, Harry",20y 164d,21 (11-1-9 54.76%),3 (0.14),←,
50,"Reid, Sam",29y 206d,75 (43-3-29 59.33%),28 (0.37),65 (37-3-25 59.23%),27 (0.42)
23,"Shaw, Heath",33y 186d,293 (180-5-108 62.29%),39 (0.13),120 (70-3-47 59.58%),2 (0.02)
14,"Taranto, Tim",21y 124d,48 (31-1-16 65.63%),20 (0.42),←,
20,"Tomlinson, Adam",25y 295d,126 (54-3-69 44.05%),33 (0.26),←,
6,"Whitfield, Lachie",24y 318d,123 (59-3-61 49.19%),56 (0.46),←,
Totals,Totals,26y 15d,2397 (1270-47-1080 52.98%),1305 (0.54),,
C,"Cameron, Leon",46y 272d,128 (71-3-54 56.64%),,←,
