Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Baldwin, Jason",25,3,5,30,,,,5.0,,,,,3.0,3.0,,,,,,,,,
54,"Bizzotto, Frank",8,3,2,10,,,,2.0,,,,,1.0,2.0,,,,,,,,,
18,"Blakey, John",13,5,5,18,3,2.0,,2.0,,,,,5.0,,,,,,,,,,
17,"Broderick, Paul",10,2,8,18,2,1.0,,4.0,,,,,,1.0,1.0,,,,,,,,
15,"Donato, David",7,1,6,13,,,,1.0,,,,,2.0,2.0,,,,,,,,,
2,"Dundas, Matthew",18,2,5,23,1,,,2.0,,,,,4.0,1.0,,,,,,,,,
54,"Elliott, Jamie",,,1,1,,,,,,,,,,1.0,,,,,,,,,
6,"Ironmonger, John",9,8,6,15,1,,11.0,1.0,,,,,3.0,3.0,,,,,,,,,
43,"Johnston, Andrew",11,3,5,16,,,,2.0,,,,,1.0,,,,,,,,,,
11,"Lynch, Alastair",14,6,3,17,4,2.0,,1.0,,,,,2.0,,3.0,,,,,,,,
29,"Lyon, Ross",11,7,11,22,2,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,
5,"McCormack, Brendan",11,5,5,16,,3.0,,1.0,,,,,1.0,1.0,,,,,,,,,
26,"McGrath, Justin",7,3,2,9,,,,1.0,,,,,1.0,1.0,,,,,,,,,
25,"OConnell, David",5,3,1,6,2,,4.0,2.0,,,,,2.0,1.0,,,,,,,,,
44,"Osborne, Richard",17,6,6,23,2,2.0,,2.0,,,,,1.0,1.0,,,,,,,,,
1,"Roos, Paul",15,9,7,22,1,,,3.0,,,,,1.0,,,,,,,,,,
20,"Rowe, Duane",6,2,2,8,,,,4.0,,,,,1.0,,,,,,,,,,
33,"Stephens, Brett",8,2,9,17,,,,3.0,,,,,3.0,4.0,,,,,,,,,
45,"Wilkinson, Darron",4,2,,4,,1.0,,,,,,,,,,,,,,,,,
8,"Wynd, Jim",16,9,7,23,1,,,1.0,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,215,81,96,311,19,13.0,16.0,39.0,,,,,33.0,23.0,4.0,,,,,,,,
Opposition,Opposition,195,71,125,320,14,22.0,25.0,19.0,,,,,23.0,33.0,2.0,,,,,,,,
