Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 92d,23 (13-0-10 56.52%),21 (0.91),←,
10,"Ashcroft, Marcus",24y 244d,136 (43-1-92 31.99%),79 (0.58),←,
17,"Bartlett, Trent",19y 182d,17 (11-0-6 64.71%),1 (0.06),←,
25,"Bews, Andrew",31y 312d,253 (132-1-120 52.37%),134 (0.53),46 (22-0-24 47.83%),2 (0.04)
1,"Champion, Richard",28y 42d,103 (34-1-68 33.50%),34 (0.33),←,
16,"Clarke, Matthew",22y 251d,53 (26-0-27 49.06%),6 (0.11),←,
14,"Dickfos, Danny",25y 239d,9 (7-0-2 77.78%),,←,
6,"Fletcher, Adrian",26y 229d,115 (53-0-62 46.09%),62 (0.54),70 (28-0-42 40.00%),42 (0.60)
8,"Gowers, Andrew",27y 45d,113 (70-0-43 61.95%),55 (0.49),24 (11-0-13 45.83%),1 (0.04)
32,"Hart, Shaun",25y 9d,90 (28-1-61 31.67%),68 (0.76),←,
41,"Kennedy, Matthew",26y 112d,98 (30-0-68 30.61%),24 (0.24),←,
18,"Lambert, Craig",27y 234d,161 (51-0-110 31.68%),68 (0.42),38 (18-0-20 47.37%),15 (0.39)
44,"Lappin, Nigel",19y 340d,45 (22-0-23 48.89%),34 (0.76),←,
23,"Leppitsch, Justin",20y 238d,33 (15-0-18 45.45%),33 (1.00),←,
11,"Lynch, Alastair",27y 342d,141 (55-0-86 39.01%),233 (1.65),21 (11-0-10 52.38%),60 (2.86)
42,"Lynch, Tristan",22y 278d,8 (6-0-2 75.00%),1 (0.13),←,
7,"McIvor, Scott",29y 291d,185 (67-0-118 36.22%),89 (0.48),130 (41-0-89 31.54%),74 (0.57)
4,"McRae, Craig",22y 247d,28 (14-0-14 50.00%),35 (1.25),←,
24,"Merrett, Roger",36y 37d,301 (143-3-155 48.01%),421 (1.40),152 (46-1-105 30.59%),273 (1.80)
22,"Scott, Chris",20y 23d,42 (20-0-22 47.62%),20 (0.48),←,
3,"Voss, Michael",20y 324d,64 (28-0-36 43.75%),57 (0.89),←,
Totals,Totals,25y 4d,2018 (868-7-1143 43.01%),1475 (0.73),,
C,"Northey, John",52y 332d,265 (135-2-128 51.32%),,9 (7-0-2 77.78%),
