Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",33y 24d,277 (165-0-112 59.57%),139 (0.50),←,
16,"Brown, Leigh",24y 53d,132 (54-1-77 41.29%),52 (0.39),69 (35-1-33 51.45%),32 (0.46)
24,"Firrito, Michael",22y 141d,44 (23-0-21 52.27%),9 (0.20),←,
38,"Gibson, Josh",22y 35d,3 (1-0-2 33.33%),,←,
6,"Grant, Shannon",28y 363d,240 (136-2-102 57.08%),276 (1.15),182 (104-1-77 57.42%),238 (1.31)
15,"Green, Kasey",26y 219d,57 (22-1-34 39.47%),8 (0.14),3 (1-0-2 33.33%),
31,"Hale, David",21y 330d,40 (18-0-22 45.00%),18 (0.45),←,
39,"Harding, Leigh",24y 356d,73 (38-1-34 52.74%),106 (1.45),←,
4,"Harris, Daniel",23y 342d,72 (37-1-34 52.08%),24 (0.33),←,
29,"Harvey, Brent",27y 338d,197 (114-1-82 58.12%),232 (1.18),←,
2,"Hay, Jonathan",26y 247d,151 (66-1-84 44.04%),12 (0.08),2 (1-0-1 50.00%),
21,"Jones, Corey",25y 50d,84 (40-0-44 47.62%),103 (1.23),←,
35,"Makepeace, Troy",27y 42d,128 (66-1-61 51.95%),33 (0.26),←,
1,"McIntosh, Hamish",21y 225d,4 (1-0-3 25.00%),1 (0.25),←,
37,"Perry, Joel",20y 303d,2 (0-0-2 0.00%),,←,
3,"Rawlings, Brady",24y 311d,114 (61-0-53 53.51%),49 (0.43),←,
26,"Rocca, Saverio",32y 148d,249 (115-3-131 46.79%),734 (2.95),93 (45-1-47 48.92%),220 (2.37)
7,"Simpson, Adam",30y 60d,226 (135-1-90 59.96%),68 (0.30),←,
23,"Thompson, Nathan",28y 62d,145 (69-1-75 47.93%),245 (1.69),26 (14-0-12 53.85%),53 (2.04)
12,"Thurley, Cameron",24y 142d,10 (5-0-5 50.00%),12 (1.20),3 (1-0-2 33.33%),
13,"Trotter, David",20y 44d,4 (2-0-2 50.00%),1 (0.25),←,
8,"Wells, Daniel",21y 73d,65 (34-1-30 53.08%),41 (0.63),←,
Totals,Totals,25y 144d,2317 (1202-15-1100 51.88%),2163 (0.93),,
C,"Laidley, Dani",39y 21d,70 (35-1-34 50.71%),,←,
