North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Atley, Shaun",11,7,11,22,,,,4.0,6.0,1.0,,2.0,2.0,,,3.0,19.0,,,1.0,,,79.0
16,"Bonar, Aiden",17,10,2,19,,,,2.0,5.0,,,,1.0,,,3.0,13.0,,,9.0,,,89.0
15,"Bosenavulagi, Atu",12,9,3,15,,,,2.0,,3.0,,1.0,,,,3.0,11.0,1.0,,2.0,,,85.0
42,"Campbell, Tom",6,5,4,10,1,,15.0,1.0,,2.0,,1.0,,1.0,,5.0,5.0,1.0,1.0,2.0,,,80.0
10,"Cunnington, Ben",12,2,13,25,,1.0,,7.0,1.0,3.0,4.0,4.0,1.0,1.0,,12.0,14.0,,,1.0,,,82.0
9,"Davies-Uniacke, Luke",9,3,9,18,,2.0,,3.0,3.0,5.0,2.0,3.0,1.0,2.0,,6.0,13.0,,,,,,85.0
22,"Goldstein, Todd",8,4,10,18,1,,18.0,1.0,,2.0,3.0,2.0,1.0,,,8.0,9.0,,,4.0,,,86.0
20,"Larkey, Nick",5,3,7,12,1,,,1.0,,3.0,,2.0,,,,6.0,6.0,1.0,1.0,,,,87.0
1,"Mahony, Jack",10,3,11,21,,,,2.0,,3.0,1.0,3.0,1.0,1.0,,7.0,14.0,,,1.0,,,76.0
23,"McKay, Ben",11,8,6,17,,,,1.0,2.0,,,3.0,,1.0,,1.0,14.0,1.0,,10.0,,,97.0
31,"Menadue, Connor",11,7,7,18,,,,3.0,3.0,1.0,1.0,1.0,1.0,,,7.0,12.0,1.0,,3.0,,,81.0
29,"Phillips, Will",5,1,4,9,1,,,1.0,,,1.0,1.0,1.0,,,3.0,6.0,,,,,,82.0
24,"Powell, Tom",15,8,10,25,,1.0,,3.0,4.0,4.0,2.0,1.0,,,,10.0,15.0,1.0,,,,,81.0
12,"Simpkin, Jy",13,3,12,25,,,,6.0,1.0,4.0,4.0,7.0,,2.0,,8.0,19.0,,,3.0,2.0,,86.0
2,"Stephenson, Jaidyn",15,5,3,18,2,,,2.0,,4.0,1.0,1.0,2.0,,,5.0,13.0,,,1.0,,,78.0
5,"Taylor, Curtis",12,10,6,18,,1.0,,3.0,2.0,1.0,1.0,1.0,,,,3.0,15.0,1.0,2.0,,,1.0,71.0
26,"Thomas, Tarryn",12,4,7,19,,2.0,,5.0,2.0,1.0,2.0,3.0,1.0,2.0,,10.0,10.0,,1.0,,,1.0,77.0
28,"Turner, Kayne",8,5,6,14,,1.0,,5.0,,3.0,1.0,3.0,1.0,1.0,,5.0,9.0,1.0,2.0,3.0,,,77.0
21,"Tyson, Dom",,,,,,,,,,,,,,,,,,,,,,,
19,"Walker, Josh",6,6,7,13,,,,1.0,2.0,,,1.0,,,,4.0,9.0,,,2.0,,,89.0
17,"Young, Lachie",8,6,7,15,,,,,1.0,1.0,1.0,1.0,,1.0,,5.0,10.0,,,2.0,,,80.0
7,"Ziebell, Jack",32,14,5,37,,,,5.0,8.0,,,2.0,2.0,,,6.0,24.0,1.0,,2.0,,,76.0
44,"Zurhaar, Cameron",7,5,3,10,,1.0,,4.0,,3.0,1.0,7.0,1.0,4.0,,5.0,5.0,3.0,2.0,,,1.0,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,245,128,153,398,6,12.0,33.0,62.0,40.0,44.0,25.0,50.0,16.0,16.0,,125.0,265.0,12.0,9.0,46.0,2.0,3.0,
Opposition,Opposition,227,100,165,392,14,15.0,30.0,58.0,38.0,53.0,38.0,49.0,16.0,16.0,6.0,155.0,234.0,12.0,13.0,38.0,6.0,7.0,
