North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",28y 223d,220 (103-0-117 46.82%),44 (0.20),←,
16,"Bonar, Aiden",22y 47d,17 (4-0-13 23.53%),5 (0.29),11 (1-0-10 9.09%),
15,"Bosenavulagi, Atu",20y 219d,5 (2-0-3 40.00%),,2 (0-0-2 0.00%),
42,"Campbell, Tom",29y 173d,48 (18-0-30 37.50%),25 (0.52),6 (0-0-6 0.00%),2 (0.33)
10,"Cunnington, Ben",29y 298d,216 (110-0-106 50.93%),87 (0.40),←,
9,"Davies-Uniacke, Luke",21y 320d,35 (10-0-25 28.57%),8 (0.23),←,
22,"Goldstein, Todd",32y 297d,257 (122-1-134 47.67%),130 (0.51),←,
20,"Larkey, Nick",22y 322d,35 (11-0-24 31.43%),48 (1.37),←,
1,"Mahony, Jack",19y 163d,16 (1-0-15 6.25%),4 (0.25),←,
23,"McKay, Ben",23y 121d,21 (2-0-19 9.52%),,←,
31,"Menadue, Connor",24y 217d,41 (23-0-18 56.10%),11 (0.27),2 (0-0-2 0.00%),
29,"Phillips, Will",18y 337d,4 (0-0-4 0.00%),2 (0.50),←,
24,"Powell, Tom",19y 53d,6 (0-0-6 0.00%),2 (0.33),←,
12,"Simpkin, Jy",23y 50d,79 (28-0-51 35.44%),33 (0.42),←,
2,"Stephenson, Jaidyn",22y 99d,60 (34-0-26 56.67%),84 (1.40),6 (0-0-6 0.00%),8 (1.33)
5,"Taylor, Curtis",21y 18d,14 (3-0-11 21.43%),5 (0.36),←,
26,"Thomas, Tarryn",21y 30d,32 (12-0-20 37.50%),25 (0.78),←,
28,"Turner, Kayne",25y 114d,85 (41-0-44 48.24%),53 (0.62),←,
21,"Tyson, Dom",27y 320d,113 (40-0-73 35.40%),45 (0.40),6 (0-0-6 0.00%),1 (0.17)
19,"Walker, Josh",28y 163d,107 (40-1-66 37.85%),73 (0.68),22 (3-0-19 13.64%),4 (0.18)
17,"Young, Lachie",22y 18d,14 (4-0-10 28.57%),1 (0.07),6 (0-0-6 0.00%),
7,"Ziebell, Jack",30y 55d,224 (104-0-120 46.43%),163 (0.73),←,
44,"Zurhaar, Cameron",22y 337d,49 (16-0-33 32.65%),48 (0.98),←,
Totals,Totals,24y 94d,1698 (728-2-968 42.87%),896 (0.53),,
C,"Noble, David",53y 344d,6 (0-0-6 0.00%),,←,
