Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
5,"Abernethy, Bruce",29y 22d,108 (62-0-46 57.41%),39 (0.36),7 (3-0-4 42.86%),2 (0.29)
26,"Bickley, Mark",21y 301d,7 (2-0-5 28.57%),1 (0.14),←,
30,"Fielke, Grantley",29y 75d,26 (8-0-18 30.77%),20 (0.77),10 (4-0-6 40.00%),5 (0.50)
3,"Hart, Darel",27y 149d,7 (3-0-4 42.86%),7 (1.00),←,
8,"Hocking, Eddie",21y 146d,5 (2-0-3 40.00%),1 (0.20),←,
17,"Hodges, Scott",23y 36d,6 (2-0-4 33.33%),15 (2.50),←,
19,"Hughes, Danny",27y 179d,131 (67-0-64 51.15%),24 (0.18),7 (3-0-4 42.86%),1 (0.14)
35,"Jameson, Rod",20y 336d,7 (3-0-4 42.86%),12 (1.71),←,
20,"Klug, John",25y 246d,10 (4-0-6 40.00%),17 (1.70),←,
13,"Lee, Scott",27y 361d,10 (4-0-6 40.00%),,←,
9,"Lindner, Bruce",29y 346d,71 (33-1-37 47.18%),148 (2.08),5 (3-0-2 60.00%),9 (1.80)
27,"Liptak, Matthew",21y 32d,3 (1-0-2 33.33%),3 (1.00),←,
16,"Marshall, David",30y 336d,10 (4-0-6 40.00%),7 (0.70),←,
18,"Maynard, Rodney",24y 253d,10 (4-0-6 40.00%),5 (0.50),←,
10,"McDermott, Chris",27y 209d,10 (4-0-6 40.00%),4 (0.40),←,
11,"McGuinness, Tony",27y 26d,119 (54-2-63 46.22%),119 (1.00),10 (4-0-6 40.00%),11 (1.10)
23,"McIntyre, Peter",24y 146d,5 (2-0-3 40.00%),7 (1.40),←,
25,"Mickan, Mark",30y 122d,55 (14-0-41 25.45%),27 (0.49),7 (2-0-5 28.57%),1 (0.14)
7,"Smart, Nigel",22y 11d,10 (4-0-6 40.00%),2 (0.20),←,
28,"Smith, Darren",26y 112d,6 (2-0-4 33.33%),10 (1.67),←,
Totals,Totals,25y 337d,616 (279-3-334 45.29%),468 (0.76),,
C,"Cornes, Graham",43y 62d,10 (4-0-6 40.00%),,←,
