West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
37,"Barrass, Tom",13,6,5,18,,,,1.0,7.0,,1.0,3.0,4.0,,,7.0,11.0,1.0,,8.0,,,97.0
33,"Bazzo, Rhett",13,9,2,15,,,,,4.0,3.0,,1.0,,,,3.0,12.0,1.0,,1.0,,,82.0
39 ↑,"Clark, Greg",,,5,5,,,,,1.0,,,,,,,1.0,4.0,,,,,,19.0
15,"Cripps, Jamie",12,6,1,13,3,,,5.0,,3.0,1.0,2.0,2.0,,,4.0,8.0,,3.0,,,1.0,87.0
49,"Culley, Jai",7,1,5,12,,,,10.0,,4.0,3.0,2.0,,1.0,,4.0,6.0,,,,,,73.0
27,"Darling, Jack",6,5,3,9,2,,,2.0,,,,1.0,1.0,,,4.0,5.0,2.0,1.0,1.0,,,100.0
41,"Dixon, Hugh",2,2,2,4,,,2.0,2.0,,1.0,,,,,,1.0,3.0,,,3.0,,,76.0
14,"Duggan, Liam",18,11,6,24,,,,3.0,6.0,,1.0,3.0,,1.0,,3.0,21.0,1.0,,3.0,1.0,,84.0
42,"Edwards, Harry",8,6,3,11,,,,1.0,,,,1.0,1.0,,,6.0,6.0,2.0,,4.0,,,82.0
29,"Foley, Luke",5,4,3,8,,,,1.0,3.0,,2.0,1.0,,,,3.0,5.0,,,,,,83.0
25,"Hurn, Shannon",23,10,9,32,,,,1.0,2.0,1.0,1.0,2.0,,1.0,,6.0,15.0,,,2.0,,1.0,84.0
31,"Jones, Jamaine",23,5,5,28,,,,1.0,10.0,2.0,1.0,5.0,,1.0,,6.0,18.0,,,1.0,,,81.0
11,"Kelly, Tim",10,3,18,28,1,,,3.0,2.0,4.0,2.0,,2.0,,,13.0,15.0,,1.0,1.0,,,84.0
7,"Langdon, Zac",7,7,6,13,,,,4.0,,,,3.0,1.0,1.0,,1.0,12.0,,,,,,86.0
30,"Nelson, Jackson",4,2,8,12,,,,4.0,,,3.0,2.0,,1.0,,5.0,7.0,,,1.0,,,76.0
24,"ONeill, Xavier",7,3,4,11,,,,4.0,1.0,,1.0,2.0,,,,2.0,9.0,,,1.0,,,73.0
10,"Petrevski-Seton, Sam",10,7,6,16,,,,,1.0,,1.0,1.0,,1.0,,3.0,12.0,,,3.0,,,78.0
8,"Redden, Jack",15,8,10,25,,1.0,,2.0,2.0,3.0,1.0,2.0,,,,3.0,20.0,,1.0,2.0,,3.0,79.0
44 ↓,"Rioli, Willie",2,1,1,3,,,,1.0,,1.0,,2.0,,2.0,,1.0,2.0,,,1.0,1.0,,66.0
35,"Rotham, Josh",5,2,,5,,,,2.0,1.0,1.0,,3.0,,3.0,,,5.0,,,1.0,,1.0,81.0
1,"Ryan, Liam",9,8,4,13,1,1.0,,2.0,,,,,,,,7.0,7.0,3.0,2.0,,,,80.0
13,"Shuey, Luke",12,4,8,20,,,,8.0,,1.0,6.0,3.0,2.0,,,8.0,14.0,,,2.0,,,67.0
32,"Williams, Bailey",8,6,17,25,,,16.0,3.0,2.0,3.0,5.0,2.0,2.0,,,17.0,10.0,2.0,1.0,4.0,,1.0,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,219,116,131,350,7,4.0,18.0,60.0,42.0,27.0,29.0,41.0,15.0,12.0,,108.0,227.0,12.0,9.0,39.0,2.0,7.0,
Opposition,Opposition,226,102,171,397,19,17.0,48.0,34.0,20.0,62.0,42.0,52.0,12.0,15.0,6.0,134.0,260.0,5.0,18.0,39.0,4.0,13.0,
