Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Jeremy",13,4,4,17,3,1.0,,3.0,1.0,5.0,1.0,6.0,3.0,5.0,,9.0,7.0,2.0,2.0,3.0,,,91.0
3,"Coniglio, Stephen",18,5,9,27,1,1.0,,5.0,1.0,4.0,5.0,2.0,,1.0,,9.0,18.0,2.0,1.0,2.0,,1.0,87.0
35,"Corr, Aidan",8,4,2,10,,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,7.0,3.0,1.0,,8.0,,,78.0
1,"Davis, Phil",5,7,6,11,,,,1.0,1.0,,2.0,1.0,1.0,,,3.0,8.0,1.0,,10.0,,,92.0
24,"de Boer, Matt",5,4,16,21,2,,,4.0,,,3.0,3.0,,1.0,,10.0,10.0,,1.0,,,1.0,86.0
7,"Deledio, Brett",8,6,5,13,,,2.0,4.0,1.0,3.0,3.0,4.0,,2.0,,5.0,8.0,,,1.0,,1.0,76.0
31,"Finlayson, Jeremy",13,3,7,20,,,,1.0,5.0,3.0,1.0,6.0,2.0,3.0,,9.0,12.0,,,1.0,1.0,,69.0
19,"Haynes, Nick",18,8,10,28,,,,1.0,5.0,3.0,,4.0,1.0,2.0,2.0,6.0,22.0,1.0,,3.0,,,88.0
27,"Himmelberg, Harry",5,1,2,7,1,1.0,,1.0,,,1.0,,,,,4.0,3.0,1.0,1.0,1.0,,1.0,86.0
2,"Hopper, Jacob",9,3,10,19,1,,,4.0,,3.0,4.0,5.0,,1.0,,11.0,10.0,,,1.0,,,69.0
22,"Kelly, Josh",18,3,4,22,,3.0,,4.0,3.0,5.0,3.0,1.0,1.0,1.0,,7.0,14.0,,,3.0,,,83.0
38,"Lloyd, Daniel",9,6,3,12,2,2.0,,6.0,1.0,1.0,,1.0,1.0,1.0,,5.0,9.0,,1.0,3.0,,,73.0
37,"Lobb, Rory",4,4,1,5,1,1.0,9.0,4.0,,,,2.0,,2.0,,3.0,2.0,3.0,2.0,4.0,,,80.0
12,"Patton, Jonathon",9,5,10,19,1,,14.0,10.0,,6.0,7.0,1.0,4.0,1.0,,14.0,8.0,,,2.0,,2.0,84.0
36,"Perryman, Harry",6,3,5,11,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,8.0,,,3.0,,,65.0
50,"Reid, Sam",2,1,5,7,,,,1.0,,1.0,,1.0,,,,2.0,5.0,,,2.0,,,86.0
23,"Shaw, Heath",18,4,5,23,,,,3.0,4.0,4.0,1.0,5.0,,2.0,,7.0,14.0,,,3.0,,,92.0
5,"Shiel, Dylan",12,4,11,23,,,,3.0,5.0,4.0,5.0,5.0,,1.0,,5.0,15.0,,,,1.0,,74.0
14,"Taranto, Tim",8,2,4,12,,,,4.0,1.0,1.0,3.0,3.0,1.0,1.0,,6.0,7.0,1.0,1.0,1.0,,,82.0
20,"Tomlinson, Adam",9,5,5,14,,,1.0,3.0,2.0,1.0,1.0,1.0,,,,3.0,11.0,,,1.0,,,92.0
8,"Ward, Callan",12,5,12,24,,,,8.0,2.0,7.0,4.0,,1.0,,,10.0,14.0,2.0,,,,1.0,79.0
6,"Whitfield, Lachie",5,4,10,15,,1.0,,4.0,,1.0,1.0,,1.0,,,5.0,10.0,,,1.0,,1.0,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,214,91,146,360,12,15.0,26.0,76.0,34.0,54.0,47.0,56.0,18.0,26.0,2.0,142.0,218.0,14.0,9.0,53.0,2.0,8.0,
Opposition,Opposition,223,98,139,362,16,7.0,50.0,51.0,39.0,50.0,33.0,54.0,26.0,18.0,4.0,141.0,216.0,14.0,14.0,49.0,4.0,9.0,
