Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Boak, Travis",10,1,12,22,1,,,4.0,,3.0,7.0,2.0,2.0,,,14.0,8.0,,,,,2.0,80.0
5,"Broadbent, Matthew",16,5,2,18,1,1.0,1.0,3.0,2.0,6.0,3.0,1.0,1.0,,,9.0,11.0,2.0,1.0,2.0,2.0,,77.0
20,"Brogan, Dean",3,,7,10,,,17.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,,6.0,5.0,,,6.0,,,76.0
27,"Carlile, Alipate",9,3,5,14,,,1.0,1.0,5.0,,1.0,1.0,,,,7.0,7.0,,,8.0,,,88.0
30,"Chaplin, Troy",15,6,5,20,,1.0,1.0,6.0,2.0,1.0,1.0,3.0,5.0,,,9.0,14.0,,,10.0,1.0,,100.0
18,"Cornes, Kane",13,5,9,22,,,,4.0,2.0,2.0,1.0,5.0,,3.0,,3.0,20.0,,,1.0,,,86.0
17,"Gray, Robbie",5,1,6,11,,,,1.0,,3.0,1.0,1.0,1.0,,,7.0,4.0,,,2.0,,1.0,90.0
8,"Hartlett, Hamish",11,2,6,17,,,,5.0,2.0,1.0,4.0,1.0,1.0,,,9.0,9.0,,,3.0,3.0,,78.0
16,"Jacobs, Ben",5,2,9,14,,,,4.0,1.0,3.0,,2.0,,1.0,,5.0,10.0,,,2.0,,,76.0
44,"Logan, Tom",6,3,9,15,,,,3.0,5.0,,,5.0,,1.0,,5.0,10.0,1.0,,1.0,,,90.0
26 ↑,"Moore, Andrew",1,,3,4,,,,1.0,,,,1.0,,,,1.0,3.0,,,,,,21.0
4,"Motlop, Daniel",11,4,9,20,1,,,2.0,2.0,2.0,,2.0,1.0,2.0,,8.0,10.0,1.0,1.0,1.0,1.0,,80.0
13 ↓,"OShea, Cameron",5,3,4,9,,,,1.0,2.0,1.0,,,,,,2.0,6.0,,,1.0,,,61.0
6,"Pearce, Danyle",13,3,7,20,,,,2.0,2.0,1.0,2.0,5.0,1.0,2.0,,4.0,15.0,,,,5.0,,85.0
36,"Pettigrew, Michael",3,1,3,6,,,,4.0,2.0,1.0,,,,,,2.0,4.0,,,7.0,,,97.0
22,"Phillips, Simon",4,2,8,12,,1.0,,4.0,,3.0,1.0,2.0,,1.0,,6.0,6.0,,1.0,3.0,2.0,1.0,92.0
29,"Pittard, Jasper",11,5,8,19,,1.0,,,3.0,2.0,1.0,2.0,,,,4.0,14.0,1.0,,4.0,1.0,,90.0
28,"Schulz, Jay",9,8,2,11,1,2.0,,1.0,,,,2.0,,,,5.0,6.0,4.0,2.0,2.0,,,92.0
9,"Surjan, Jacob",7,4,5,12,,,,,,,,3.0,1.0,2.0,,3.0,9.0,,1.0,2.0,,,90.0
21,"Thomas, Matt",4,1,15,19,,,,3.0,2.0,3.0,5.0,3.0,3.0,1.0,,9.0,9.0,,,1.0,,,73.0
12,"Trengove, Jackson",6,6,8,14,,,4.0,5.0,3.0,1.0,1.0,2.0,,2.0,,4.0,10.0,1.0,,3.0,1.0,,82.0
39,"Westhoff, Justin",13,8,6,19,3,,,,,,1.0,3.0,2.0,1.0,,8.0,11.0,1.0,2.0,2.0,1.0,1.0,94.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,73,148,328,7,7.0,24.0,56.0,36.0,35.0,31.0,48.0,21.0,18.0,,130.0,201.0,11.0,8.0,61.0,17.0,5.0,
Opposition,Opposition,256,109,178,434,16,15.0,39.0,49.0,27.0,58.0,42.0,42.0,18.0,21.0,6.0,169.0,272.0,15.0,18.0,50.0,22.0,14.0,
