Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
23,"Bolton, Mark",27y 151d,117 (54-2-61 47.01%),46 (0.39),←,
16,"Bradley, Kepler",20y 292d,45 (11-1-33 25.56%),13 (0.29),←,
22,"Cartledge, Tristan",21y 82d,7 (2-0-5 28.57%),1 (0.14),←,
28,"Cole, Richard",23y 48d,60 (28-0-32 46.67%),6 (0.10),4 (1-0-3 25.00%),
15,"Dempsey, Courtenay",19y 4d,5 (0-0-5 0.00%),1 (0.20),←,
2,"Dyson, Ricky",20y 338d,38 (13-1-24 35.53%),25 (0.66),←,
26,"Heffernan, Chris",27y 215d,163 (87-2-74 53.99%),54 (0.33),116 (69-2-45 60.34%),44 (0.38)
19,"Hille, David",25y 91d,106 (50-1-55 47.64%),80 (0.75),←,
5,"Hird, James",33y 209d,236 (138-5-93 59.53%),335 (1.42),←,
21,"Johns, Courtney",21y 291d,13 (2-0-11 15.38%),12 (0.92),←,
14,"Johnson, Jason",28y 219d,170 (98-2-70 58.24%),104 (0.61),←,
1,"Johnson, Mark",28y 101d,174 (102-2-70 59.20%),85 (0.49),←,
32,"Lee, Andrew",20y 62d,5 (0-1-4 10.00%),2 (0.40),←,
42,"Lovett-Murray, Nathan",23y 287d,56 (19-0-37 33.93%),35 (0.63),←,
25,"Lucas, Scott",28y 245d,225 (126-2-97 56.44%),370 (1.64),←,
33,"McPhee, Adam",23y 330d,104 (39-0-65 37.50%),51 (0.49),79 (33-0-46 41.77%),42 (0.53)
10,"McVeigh, Mark",25y 218d,141 (71-2-68 51.06%),55 (0.39),←,
6,"Monfries, Angus",19y 225d,33 (7-1-25 22.73%),33 (1.00),←,
11,"Peverill, Damien",27y 51d,115 (55-2-58 48.70%),25 (0.22),←,
7,"Solomon, Dean",26y 235d,158 (92-1-65 58.54%),56 (0.35),←,
24,"Stanton, Brent",20y 123d,56 (16-1-39 29.46%),31 (0.55),←,
4,"Watson, Jobe",21y 205d,34 (10-1-23 30.88%),14 (0.41),←,
Totals,Totals,24y 116d,2061 (1020-27-1014 49.49%),1434 (0.70),,
C,"Sheedy, Kevin",58y 251d,612 (376-6-230 61.93%),,←,
