Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ablett, Gary",17,5,17,34,,,,6.0,8.0,6.0,5.0,4.0,,3.0,,15.0,18.0,,,3.0,1.0,,95.0
37,"Bennell, Harley",12,4,4,16,1,3.0,,2.0,,3.0,3.0,4.0,1.0,2.0,,8.0,8.0,2.0,1.0,3.0,3.0,,87.0
44,"Bock, Nathan",17,9,5,22,,,,1.0,5.0,1.0,,2.0,1.0,,,7.0,14.0,1.0,,4.0,2.0,,95.0
3,"Brennan, Jared",10,3,8,18,1,,3.0,4.0,3.0,3.0,6.0,2.0,3.0,,,15.0,7.0,,,8.0,1.0,1.0,94.0
30,"Brown, Campbell",12,10,9,21,,,,2.0,3.0,,,2.0,1.0,2.0,,5.0,16.0,,,5.0,1.0,,89.0
27,"Coad, Michael",17,10,3,20,,,,1.0,3.0,,,5.0,,3.0,,4.0,14.0,2.0,,7.0,,,95.0
23,"Dixon, Charlie",2,2,1,3,,,,4.0,,1.0,,3.0,,2.0,,1.0,3.0,,,1.0,,1.0,96.0
47,"Gorringe, Daniel",6,4,9,15,1,,7.0,,,4.0,1.0,1.0,,1.0,,2.0,12.0,,,2.0,,,89.0
5,"Harbrow, Jarrod",13,6,10,23,,,,1.0,4.0,1.0,,4.0,,1.0,,2.0,20.0,,,3.0,4.0,,85.0
21,"Harris, Daniel",5,4,11,16,,,,3.0,1.0,1.0,5.0,1.0,1.0,,,11.0,5.0,,,,,,67.0
7,"Hunt, Karmichael",2,,8,10,,,,2.0,1.0,2.0,1.0,,,,,5.0,5.0,,,4.0,,,84.0
14 ↓,"Krakouer, Nathan",5,3,4,9,,,,,,1.0,,2.0,,1.0,,2.0,7.0,,,,,,51.0
6 ↑,"Magin, Alik",6,5,,6,,1.0,,2.0,,4.0,,,,,,1.0,6.0,,,,,,39.0
32,"Matera, Brandon",8,2,2,10,1,1.0,,1.0,,4.0,,,,,,1.0,9.0,,1.0,2.0,1.0,,94.0
18,"McKenzie, Trent",8,5,5,13,,,,3.0,3.0,2.0,,1.0,,,,3.0,8.0,,,,,,72.0
41,"Prestia, Dion",16,9,4,20,,,,4.0,2.0,4.0,,2.0,1.0,,,2.0,18.0,,,2.0,2.0,,65.0
35,"Rischitelli, Michael",6,5,11,17,,,,4.0,1.0,,3.0,,1.0,,,6.0,10.0,,,3.0,,,83.0
2,"Smith, Zac",4,3,6,10,1,,18.0,2.0,2.0,,3.0,2.0,2.0,,,7.0,4.0,,,5.0,,,90.0
25,"Stanley, Danny",7,3,7,14,2,,,6.0,2.0,,1.0,5.0,1.0,2.0,,5.0,11.0,1.0,,1.0,,,89.0
24,"Swallow, David",14,2,7,21,,1.0,,4.0,,5.0,6.0,2.0,1.0,,,7.0,14.0,,,3.0,1.0,,81.0
48,"Tape, Seb",4,4,4,8,,,,3.0,1.0,,,2.0,,1.0,,4.0,5.0,,,4.0,,,96.0
4,"Weller, Maverick",3,1,9,12,,,,1.0,,,1.0,2.0,1.0,1.0,,4.0,8.0,,,4.0,,,65.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,99,144,338,7,9.0,28.0,56.0,39.0,42.0,35.0,46.0,14.0,19.0,,117.0,222.0,6.0,2.0,64.0,16.0,2.0,
Opposition,Opposition,236,118,174,410,18,14.0,33.0,51.0,35.0,63.0,26.0,42.0,20.0,14.0,6.0,143.0,270.0,16.0,14.0,40.0,12.0,11.0,
