Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
48,"Adams, Oscar",3,4,4,7,,,,1.0,1.0,1.0,,1.0,,,,4.0,3.0,2.0,,5.0,,,88.0
9,"Ainsworth, Ben",6,5,6,12,1,1.0,,3.0,1.0,2.0,,2.0,,,,1.0,10.0,1.0,2.0,1.0,,1.0,83.0
15,"Anderson, Noah",10,4,17,27,,,,1.0,2.0,5.0,5.0,6.0,1.0,1.0,,11.0,16.0,,,,2.0,,87.0
1,"Andrew, Mac",10,6,4,14,,,,1.0,3.0,,,4.0,3.0,2.0,,7.0,7.0,1.0,,11.0,,,91.0
35,"Budarick, Connor",18,9,6,24,,1.0,,1.0,2.0,3.0,,4.0,,2.0,,3.0,21.0,,,2.0,,,88.0
33,"Clohesy, Sam",7,3,4,11,,1.0,,4.0,1.0,3.0,2.0,5.0,1.0,2.0,,3.0,8.0,,1.0,1.0,,,76.0
8,"Fiorini, Brayden",14,7,14,28,,,,3.0,1.0,4.0,2.0,5.0,1.0,1.0,,2.0,25.0,,1.0,,,,74.0
3,"Flanders, Sam",11,9,17,28,1,1.0,,1.0,,3.0,6.0,2.0,2.0,,,12.0,17.0,,,,,,83.0
19,"Humphrey, Bailey",5,3,7,12,,,,3.0,,3.0,4.0,6.0,,3.0,,7.0,6.0,1.0,,,,,82.0
40,"Jeffrey, Joel",15,4,7,22,1,,,1.0,5.0,1.0,1.0,4.0,1.0,2.0,,5.0,12.0,,,1.0,1.0,1.0,84.0
44,"Jepson, Ben",9,2,3,12,,,,1.0,1.0,3.0,,4.0,1.0,2.0,,2.0,10.0,,,,1.0,,77.0
34,"King, Ben",2,1,2,4,1,,,2.0,,1.0,,2.0,,2.0,,3.0,2.0,,,,,,83.0
30,"Lombard, Leo",5,3,2,7,,2.0,,3.0,,,1.0,3.0,1.0,2.0,,2.0,6.0,,1.0,,,,79.0
22,"Long, Ben",3,3,5,8,,,,2.0,,1.0,,6.0,1.0,3.0,,2.0,7.0,,1.0,2.0,,,87.0
2,"Noble, John",14,4,6,20,,,,1.0,2.0,1.0,,1.0,,,,3.0,14.0,,,,1.0,,82.0
27,"Powell, Wil",10,2,6,16,,,,8.0,2.0,6.0,,4.0,2.0,1.0,,6.0,10.0,1.0,,2.0,2.0,,85.0
20,"Read, Ethan",7,2,2,9,1,1.0,6.0,1.0,,2.0,1.0,1.0,1.0,,,4.0,4.0,1.0,,4.0,,,65.0
17 ↓,"Rioli, Daniel",7,1,4,11,,,,,4.0,1.0,1.0,1.0,1.0,,,3.0,5.0,,,,1.0,,37.0
18,"Rowell, Matt",19,2,11,30,,,,9.0,4.0,7.0,12.0,4.0,,1.0,2.0,16.0,13.0,,,2.0,,,86.0
24 ↑,"Swallow, David",3,1,4,7,,1.0,,1.0,,1.0,,1.0,2.0,1.0,,5.0,2.0,,,1.0,,,46.0
32,"Uwland, Bodhi",6,5,4,10,,,,3.0,1.0,2.0,,3.0,1.0,2.0,,2.0,8.0,,,3.0,,,85.0
4,"Walter, Jed",3,2,1,4,1,1.0,1.0,2.0,,,,1.0,1.0,,,2.0,2.0,1.0,2.0,1.0,,,72.0
28,"Witts, Jarrod",5,1,6,11,,,35.0,3.0,,2.0,3.0,2.0,2.0,1.0,,9.0,5.0,,,7.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,83,142,334,6,10.0,42.0,55.0,30.0,52.0,38.0,72.0,22.0,28.0,2.0,114.0,213.0,8.0,8.0,43.0,8.0,2.0,
Opposition,Opposition,237,112,120,357,16,11.0,48.0,55.0,43.0,46.0,37.0,65.0,28.0,22.0,4.0,125.0,224.0,9.0,9.0,47.0,8.0,12.0,
