Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",18,1,4,22,,3.0,,7.0,,,,,3.0,,,,,,,,,,
34,"Boyd, Brad",12,2,5,17,,2.0,,4.0,,,,,2.0,2.0,,,,,,,,,
17,"Broderick, Paul",10,2,14,24,,,,2.0,,,,,2.0,1.0,,,,,,,,,
2,"Dundas, Matthew",8,1,6,14,1,,,3.0,,,,,1.0,2.0,,,,,,,,,
18,"Dunstan, Michael",6,,9,15,,,,2.0,,,,,1.0,,,,,,,,,,
28,"Elliott, Jamie",15,4,8,23,,1.0,,2.0,,,,,1.0,,,,,,,,,,
7,"Gale, Michael",14,2,9,23,,,,4.0,,,,,2.0,,,,,,,,,,
6,"Guard, Jeremy",6,2,,6,,,,1.0,,,,,,2.0,,,,,,,,,
26,"Johnston, David",5,,1,6,,,,3.0,,,,,1.0,,,,,,,,,,
11,"Lynch, Alastair",11,4,2,13,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
29,"Lyon, Ross",2,,1,3,,,1.0,1.0,,,,,,1.0,,,,,,,,,
30,"Manson, James",5,4,9,14,,,11.0,1.0,,,,,4.0,1.0,,,,,,,,,
25,"McCarthy, John",14,7,4,18,2,,,2.0,,,,,,2.0,,,,,,,,,
43,"Morton, Danny",7,,4,11,2,,,4.0,,,,,1.0,,,,,,,,,,
4,"Paxman, Stephen",10,3,3,13,,,,1.0,,,,,3.0,1.0,,,,,,,,,
9,"Sartori, Peter",10,2,3,13,1,2.0,7.0,1.0,,,,,3.0,5.0,,,,,,,,,
3,"Seecamp, Marcus",3,2,7,10,,,,1.0,,,,,1.0,1.0,,,,,,,,,
12,"Wheildon, Darren",4,3,3,7,,,,1.0,,,,,2.0,3.0,,,,,,,,,
8,"Wynd, Jim",22,3,4,26,1,1.0,,,,,,,3.0,2.0,,,,,,,,,
16,"Zanotti, Mark",12,1,5,17,,,,2.0,,,,,4.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,43,101,295,7,14.0,19.0,43.0,,,,,36.0,27.0,,,,,,,,,
Opposition,Opposition,200,65,104,304,12,10.0,14.0,32.0,,,,,27.0,36.0,6.0,,,,,,,,
