Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",24y 192d,106 (52-2-52 50.00%),62 (0.58),←,
50,"Ballantyne, Jon",23y 339d,17 (8-0-9 47.06%),38 (2.24),←,
19,"Beveridge, Luke",22y 314d,45 (26-0-19 57.78%),46 (1.02),3 (2-0-1 66.67%),5 (1.67)
18,"Cameron, Leon",20y 304d,54 (28-1-25 52.78%),24 (0.44),←,
6,"Campbell, Tony",25y 324d,108 (60-0-48 55.56%),63 (0.58),33 (21-0-12 63.64%),2 (0.06)
1,"Charles, Justin",22y 278d,36 (18-1-17 51.39%),24 (0.67),←,
32,"Foster, Peter",33y 31d,169 (90-3-76 54.14%),58 (0.34),162 (87-3-72 54.63%),56 (0.35)
29,"Grant, Chris",20y 202d,69 (38-1-30 55.80%),137 (1.99),←,
7,"Hawkins, Doug",33y 59d,301 (128-4-169 43.19%),207 (0.69),←,
10,"Hunter, Mark",27y 303d,87 (41-2-44 48.28%),2 (0.02),←,
4,"Kellett, Nigel",23y 197d,49 (26-0-23 53.06%),21 (0.43),←,
21,"Kolyniuk, Steven",22y 363d,74 (37-1-36 50.68%),90 (1.22),←,
39,"Liberatore, Tony",27y 142d,97 (55-1-41 57.22%),56 (0.58),←,
22,"Quill, Peter",23y 314d,6 (3-0-3 50.00%),3 (0.50),←,
2,"Reynolds, Keenan",24y 177d,55 (31-0-24 56.36%),24 (0.44),←,
33,"Royal, Brian",31y 203d,195 (104-2-89 53.85%),293 (1.50),←,
5,"Smith, Rohan",20y 33d,20 (14-0-6 70.00%),17 (0.85),←,
17,"Standfield, Barry",23y 140d,45 (26-0-19 57.78%),18 (0.40),←,
8,"Toohey, Bernard",30y 135d,258 (133-1-124 51.74%),115 (0.45),35 (23-0-12 65.71%),4 (0.11)
15,"Wynd, Scott",23y 159d,91 (46-1-44 51.10%),11 (0.12),←,
Totals,Totals,25y 119d,1882 (964-20-898 51.22%),1309 (0.70),,
C,"Wheeler, Terry",38y 112d,82 (45-1-36 55.49%),,←,
