Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
44,"Bock, Nathan",26y 121d,98 (56-0-42 57.14%),55 (0.56),←,
24,"Burton, Brett",31y 76d,165 (89-0-76 53.94%),242 (1.47),←,
32,"Dangerfield, Patrick",19y 105d,18 (11-0-7 61.11%),15 (0.83),←,
11,"Doughty, Michael",29y 348d,158 (97-0-61 61.39%),38 (0.24),←,
26,"Douglas, Richard",22y 163d,52 (29-0-23 55.77%),33 (0.63),←,
36,"Goodwin, Simon",32y 205d,251 (143-0-108 56.97%),157 (0.63),←,
18,"Johncock, Graham",26y 271d,161 (91-0-70 56.52%),90 (0.56),←,
21,"Knights, Chris",22y 297d,62 (37-0-25 59.68%),36 (0.58),←,
14,"Mackay, David",20y 359d,35 (23-0-12 65.71%),9 (0.26),←,
20,"Maric, Ivan",23y 196d,42 (26-0-16 61.90%),18 (0.43),←,
41,"Martin, Brodie",20y 255d,1 (0-0-1 0.00%),1 (1.00),←,
23,"McLeod, Andrew",32y 349d,320 (176-0-144 55.00%),262 (0.82),←,
22,"Otten, Andy",20y 65d,18 (11-0-7 61.11%),1 (0.06),←,
40,"Porplyzia, Jason",24y 234d,60 (38-0-22 63.33%),93 (1.55),←,
3,"Reilly, Brent",25y 249d,105 (61-0-44 58.10%),41 (0.39),←,
25,"Rutten, Ben",26y 52d,118 (74-0-44 62.71%),5 (0.04),←,
29,"Sellar, James",20y 117d,4 (3-0-1 75.00%),,←,
27,"Stevens, Scott",27y 185d,116 (61-1-54 53.02%),81 (0.70),91 (51-0-40 56.04%),64 (0.70)
15,"Symes, Brad",24y 134d,48 (25-0-23 52.08%),5 (0.10),28 (17-0-11 60.71%),3 (0.11)
5,"Thompson, Scott",26y 127d,147 (86-0-61 58.50%),101 (0.69),108 (68-0-40 62.96%),84 (0.78)
4,"Tippett, Kurt",22y 72d,35 (20-0-15 57.14%),51 (1.46),←,
17,"Vince, Bernie",23y 290d,47 (30-0-17 63.83%),25 (0.53),←,
Totals,Totals,25y 11d,2061 (1187-1-873 57.59%),1359 (0.66),,
C,"Craig, Neil",53y 189d,120 (74-0-46 61.67%),,←,
