Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
39,"Bailey, Max",24y 225d,9 (7-0-2 77.78%),,←,
14,"Birchall, Grant",23y 128d,115 (66-1-48 57.83%),13 (0.11),←,
47,"Breust, Luke",20y 206d,4 (4-0-0 100.00%),6 (1.50),←,
9,"Burgoyne, Shaun",28y 227d,183 (116-1-66 63.66%),191 (1.04),26 (19-1-6 75.00%),20 (0.77)
13,"Cheney, Kyle",21y 284d,15 (3-0-12 20.00%),,1 (1-0-0 100.00%),
6,"Gibson, Josh",27y 84d,87 (42-2-43 49.43%),2 (0.02),22 (13-1-8 61.36%),
18,"Guerra, Brent",29y 7d,203 (134-1-68 66.26%),99 (0.49),107 (65-1-41 61.21%),16 (0.15)
15,"Hodge, Luke",26y 355d,182 (90-1-91 49.73%),124 (0.68),←,
3,"Lewis, Jordan",25y 42d,135 (70-1-64 52.22%),53 (0.39),←,
36,"Lisle, Jordan",20y 328d,1 (1-0-0 100.00%),,←,
5,"Mitchell, Sam",28y 236d,183 (94-1-88 51.64%),38 (0.21),←,
29,"Murphy, Tom",25y 78d,75 (39-1-35 52.67%),3 (0.04),←,
7,"Osborne, Michael",28y 311d,143 (70-1-72 49.30%),91 (0.64),←,
28,"Puopolo, Paul",23y 185d,5 (5-0-0 100.00%),,←,
33,"Rioli, Cyril",21y 326d,71 (44-1-26 62.68%),80 (1.13),←,
2,"Roughead, Jarryd",24y 133d,135 (74-1-60 55.19%),253 (1.87),←,
25,"Schoenmakers, Ryan",20y 209d,27 (11-0-16 40.74%),1 (0.04),←,
12,"Sewell, Brad",27y 123d,133 (69-1-63 52.26%),19 (0.14),←,
26,"Shiels, Liam",20y 37d,27 (14-0-13 51.85%),5 (0.19),←,
31,"Suckling, Matt",22y 315d,15 (9-0-6 60.00%),2 (0.13),←,
37,"Whitecross, Brendan",21y 131d,35 (19-1-15 55.71%),12 (0.34),←,
11,"Young, Clinton",25y 109d,93 (54-1-38 58.60%),46 (0.49),←,
Totals,Totals,24y 169d,1876 (1035-15-826 55.17%),1038 (0.55),,
C,"Clarkson, Alastair",43y 39d,148 (77-1-70 52.36%),,←,
