West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Banfield, Drew",4,1.0,2.0,6,,,,3.0,,,,,,,,,,,,,,,
14,"Brennan, Michael",5,3.0,2.0,7,,,,,,,,,,,,,,,,,,,
18,"Evans, Tony",4,2.0,3.0,7,,1.0,,5.0,,,,,,,,,,,,,,,
33,"Godden, Tony",8,,3.0,11,,,,2.0,,,,,1.0,1.0,,,,,,,,,
23,"Harding, Paul",8,2.0,5.0,13,1.0,,10.0,,,,,,2.0,,,,,,,,,,
36,"Hart, David",12,2.0,5.0,17,,1.0,,1.0,,,,,3.0,3.0,,,,,,,,,
1,"Heady, Brett",7,2.0,3.0,10,1.0,,,,,,,,3.0,1.0,,,,,,,,,
22,"Hynes, David",2,3.0,1.0,3,,,3.0,,,,,,,1.0,,,,,,,,,
27,"Jakovich, Glen",7,4.0,3.0,10,,,,,,,,,2.0,2.0,,,,,,,,,
2,"Kemp, Dean",16,4.0,6.0,22,2.0,,1.0,5.0,,,,,2.0,2.0,,,,,,,,,
5,"Lamb, Dwayne",4,1.0,2.0,6,,,,,,,,,,1.0,,,,,,,,,
3,"Mainwaring, Chris",24,2.0,5.0,29,,,,4.0,,,,,2.0,3.0,,,,,,,,,
30,"Matera, Peter",21,6.0,5.0,26,1.0,3.0,,2.0,,,,,1.0,1.0,,,,,,,,,
11,"McIntosh, Ashley",7,3.0,,7,,1.0,2.0,1.0,,,,,,3.0,,,,,,,,,
17,"McKenna, Guy",9,2.0,6.0,15,,,,1.0,,,,,,,,,,,,,,,
10,"Pyke, Don",17,1.0,2.0,19,,,,3.0,,,,,1.0,,,,,,,,,,
4,"Sumich, Peter",8,3.0,2.0,10,2.0,4.0,,1.0,,,,,1.0,3.0,,,,,,,,,
39,"Waterman, Chris",10,3.0,7.0,17,,,,3.0,,,,,1.0,4.0,,,,,,,,,
12,"White, Mitchell",4,2.0,2.0,6,,,,1.0,,,,,,4.0,,,,,,,,,
9,"Wilson, Peter",7,2.0,5.0,12,,,,2.0,,,,,2.0,1.0,,,,,,,,,
Totals,Totals,184,48.0,69.0,253,7.0,10.0,16.0,34.0,,,,,21.0,30.0,,,,,,,,,
Opposition,Opposition,218,62.0,86.0,304,14.0,10.0,32.0,52.0,,,,,30.0,21.0,6.0,,,,,,,,
