Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",29y 229d,190 (87-2-101 46.32%),67 (0.35),159 (84-2-73 53.46%),55 (0.35)
46,"Cox, Mason",32y 54d,97 (56-0-41 57.73%),103 (1.06),←,
25,"Crisp, Jack",29y 217d,208 (108-2-98 52.40%),64 (0.31),190 (101-2-87 53.68%),54 (0.28)
7,"Daicos, Josh",24y 162d,85 (47-1-37 55.88%),45 (0.53),←,
35,"Daicos, Nick",20y 124d,33 (24-0-9 72.73%),13 (0.39),←,
2,"de Goey, Jordan",27y 53d,144 (77-2-65 54.17%),181 (1.26),←,
5,"Elliott, Jamie",30y 259d,163 (97-2-64 60.12%),233 (1.43),←,
17,"Frampton, Billy",26y 168d,31 (16-0-15 51.61%),15 (0.48),7 (6-0-1 85.71%),3 (0.43)
33,"Ginnivan, Jack",20y 149d,32 (22-0-10 68.75%),50 (1.56),←,
23,"Hill, Bobby",23y 87d,49 (24-1-24 50.00%),44 (0.90),8 (7-0-1 87.50%),10 (1.25)
32,"Hoskin-Elliott, Will",29y 247d,189 (89-2-98 47.62%),162 (0.86),137 (77-2-58 56.93%),120 (0.88)
40,"Johnson, Ash",25y 213d,15 (11-0-4 73.33%),22 (1.47),←,
37,"Markov, Oleg",26y 364d,56 (26-0-30 46.43%),5 (0.09),5 (4-0-1 80.00%),
4,"Maynard, Brayden",26y 229d,169 (87-2-80 52.07%),17 (0.10),←,
31,"McCreery, Beau",22y 18d,43 (26-0-17 60.47%),32 (0.74),←,
41,"Mihocek, Brody",30y 92d,110 (65-1-44 59.55%),184 (1.67),←,
6,"Mitchell, Tom",29y 341d,179 (94-3-82 53.35%),80 (0.45),8 (7-0-1 87.50%),4 (0.50)
30,"Moore, Darcy",27y 102d,134 (67-2-65 50.75%),67 (0.50),←,
28,"Murphy, Nathan",23y 143d,40 (26-0-14 65.00%),1 (0.03),←,
9,"Noble, John",26y 43d,77 (43-1-33 56.49%),5 (0.06),←,
10,"Pendlebury, Scott",35y 120d,365 (219-3-143 60.41%),188 (0.52),←,
3,"Quaynor, Isaac",23y 112d,67 (36-0-31 53.73%),3 (0.04),←,
22,"Sidebottom, Steele",32y 125d,297 (179-4-114 60.94%),188 (0.63),←,
Totals,Totals,27y 32d,2773 (1526-28-1219 55.03%),1769 (0.64),,
C,"McRae, Craig",49y 227d,33 (24-0-9 72.73%),,←,
