Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",23y 160d,38 (24-1-13 64.47%),32 (0.84),←,
8,"Bewick, Darren",27y 239d,142 (87-1-54 61.62%),224 (1.58),←,
36,"Cummings, Scott",21y 89d,13 (8-0-5 61.54%),32 (2.46),←,
7,"Daniher, Chris",29y 17d,70 (39-1-30 56.43%),17 (0.24),←,
20,"Darcy, Tim",31y 92d,179 (99-0-80 55.31%),85 (0.47),3 (3-0-0 100.00%),2 (0.67)
38,"Denham, Sean",25y 353d,99 (57-1-41 58.08%),42 (0.42),55 (33-1-21 60.91%),21 (0.38)
30,"Fraser, Mark",24y 72d,46 (27-0-19 58.70%),23 (0.50),1 (1-0-0 100.00%),
29,"Grenvold, David",29y 42d,91 (60-1-30 66.48%),16 (0.18),←,
1,"Harvey, Mark",29y 310d,168 (112-1-55 66.96%),164 (0.98),←,
5,"Hird, James",22y 72d,43 (26-1-16 61.63%),67 (1.56),←,
13,"Long, Michael",25y 198d,105 (69-0-36 65.71%),71 (0.68),←,
2,"Mercuri, Mark",21y 55d,39 (25-1-13 65.38%),48 (1.23),←,
24,"Misiti, Joe",20y 159d,44 (27-1-16 62.50%),19 (0.43),←,
41,"OConnor, Ryan",20y 294d,5 (3-0-2 60.00%),3 (0.60),←,
10,"ODonnell, Gary",29y 340d,160 (99-1-60 62.19%),53 (0.33),←,
47,"Olarenshaw, Ricky",22y 75d,29 (19-0-10 65.52%),7 (0.24),←,
19,"Somerville, Peter",26y 283d,79 (49-0-30 62.03%),64 (0.81),←,
12,"Symons, Michael",23y 213d,43 (28-0-15 65.12%),55 (1.28),←,
26,"Thompson, Mark",31y 149d,184 (119-2-63 65.22%),49 (0.27),←,
4,"Wanganeen, Gavin",21y 303d,86 (49-1-36 57.56%),39 (0.45),←,
35,"Young, Barry",24y 295d,71 (30-0-41 42.25%),39 (0.55),18 (11-0-7 61.11%),16 (0.89)
Totals,Totals,25y 129d,1734 (1056-13-665 60.90%),1149 (0.66),,
C,"Sheedy, Kevin",47y 114d,332 (215-2-115 65.06%),,←,
