Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Bond, Chris",8,1,5,13,,1.0,,3.0,,,,,2.0,,,,,,,,,,
32,"Bourke, David",10,4,2,12,,,1.0,1.0,,,,,3.0,,2.0,,,,,,,,
22,"Bower, Nathan",3,1,3,6,,,,2.0,,,,,,,,,,,,,,,
17,"Broderick, Paul",24,4,12,36,2,,,1.0,,,,,,1.0,3.0,,,,,,,,
21,"Bulluss, Paul",9,6,4,13,1,,2.0,1.0,,,,,1.0,2.0,,,,,,,,,
9,"Campbell, Wayne",17,5,9,26,,,,2.0,,,,,,2.0,,,,,,,,,
10,"Daffy, Nick",7,1,3,10,,1.0,,1.0,,,,,,3.0,,,,,,,,,
14,"Dear, Greg",7,1,,7,,,6.0,1.0,,,,,1.0,2.0,,,,,,,,,
18,"Edwards, Stuart",11,9,2,13,3,6.0,,,,,,,,4.0,,,,,,,,,
25,"Gale, Brendon",13,6,5,18,1,1.0,6.0,3.0,,,,,2.0,,,,,,,,,,
11,"Gale, Michael",7,1,6,13,1,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,
3,"Kellaway, Duncan",10,8,3,13,,,,2.0,,,,,1.0,1.0,,,,,,,,,
33,"Knights, Matthew",7,,7,14,,1.0,1.0,1.0,,,,,2.0,6.0,,,,,,,,,
27,"Maxfield, Stuart",10,2,2,12,1,,,1.0,,,,,,1.0,,,,,,,,,
28,"Merenda, Mark",3,2,,3,,1.0,,,,,,,,,,,,,,,,,
6,"Naish, Chris",11,1,7,18,2,2.0,,1.0,,,,,1.0,,,,,,,,,,
19,"Neeld, Mark",6,3,3,9,1,,,2.0,,,,,1.0,3.0,,,,,,,,,
7,"Prescott, Ashley",5,2,3,8,,,,8.0,,,,,1.0,3.0,,,,,,,,,
4,"Rogers, Matthew",8,2,5,13,1,1.0,,,,,,,,,,,,,,,,,
5,"Tape, Jamie",2,1,5,7,,,,2.0,,,,,1.0,,,,,,,,,,
41,"Turner, Scott",7,3,2,9,,,,,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,185,63,88,273,13,18.0,16.0,32.0,,,,,18.0,29.0,6.0,,,,,,,,
Opposition,Opposition,174,70,116,290,9,10.0,22.0,27.0,,,,,29.0,18.0,,,,,,,,,
