Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",6,2,9,15,,,,1.0,1.0,2.0,,2.0,1.0,,,3.0,12.0,,,,,1.0,81.0
15,"Anderson, Noah",8,4,11,19,1,,,2.0,,2.0,1.0,3.0,,,,6.0,14.0,,,1.0,,,86.0
31,"Andrew, Mac",12,7,7,19,,1.0,,1.0,3.0,1.0,,3.0,2.0,,,8.0,10.0,1.0,,6.0,1.0,,87.0
10,"Ballard, Charlie",6,4,5,11,,,,2.0,4.0,,1.0,,,,,4.0,6.0,1.0,,1.0,,,90.0
16,"Berry, Tom",14,7,8,22,,1.0,,2.0,1.0,6.0,,5.0,2.0,1.0,,6.0,17.0,,1.0,1.0,,,77.0
33,"Clohesy, Sam",8,6,8,16,1,,,3.0,1.0,2.0,1.0,2.0,,1.0,,5.0,11.0,,,1.0,1.0,,87.0
25,"Collins, Sam",9,6,3,12,,,,,2.0,2.0,,2.0,,1.0,,6.0,7.0,1.0,,7.0,,,100.0
8,"Fiorini, Brayden",16,7,11,27,1,1.0,,2.0,6.0,3.0,2.0,2.0,,1.0,,6.0,21.0,,,2.0,1.0,,91.0
3,"Flanders, Sam",29,8,5,34,,,,2.0,7.0,2.0,2.0,7.0,,1.0,,5.0,24.0,,,2.0,,1.0,87.0
26,"Graham, Will",4,1,7,11,,,,5.0,,2.0,1.0,,1.0,,,5.0,6.0,,,1.0,,,75.0
7,"Holman, Nick",5,2,3,8,,2.0,,3.0,,3.0,,1.0,,,,5.0,3.0,1.0,1.0,3.0,,,81.0
19,"Humphrey, Bailey",4,1,3,7,1,1.0,,3.0,,2.0,,1.0,1.0,,,2.0,6.0,,1.0,1.0,,1.0,78.0
34,"King, Ben",5,3,2,7,2,,,1.0,,1.0,,1.0,1.0,,,5.0,3.0,1.0,1.0,1.0,,,86.0
13,"Lukosius, Jack",13,10,4,17,,,,1.0,3.0,5.0,1.0,3.0,2.0,1.0,,6.0,11.0,2.0,,5.0,,,82.0
11,"Miller, Touk",12,3,11,23,1,,,7.0,4.0,5.0,4.0,7.0,2.0,1.0,,8.0,15.0,,,1.0,,,79.0
27,"Powell, Wil",11,4,6,17,,1.0,,1.0,6.0,2.0,1.0,3.0,1.0,,,5.0,10.0,,,1.0,,1.0,75.0
20 ↓,"Read, Ethan",1,2,3,4,,,6.0,1.0,1.0,,,2.0,,2.0,,2.0,2.0,1.0,,1.0,,,55.0
29,"Rogers, Jake",4,1,3,7,,,,1.0,,3.0,,2.0,,1.0,,2.0,5.0,,,,,1.0,76.0
18,"Rowell, Matt",8,,12,20,,,,12.0,1.0,4.0,9.0,3.0,2.0,1.0,,15.0,7.0,,,2.0,,1.0,78.0
24 ↑,"Swallow, David",,1,4,4,,,,,,,,1.0,,1.0,,3.0,1.0,,,,,,25.0
32,"Uwland, Bodhi",1,,5,6,,,,1.0,,,,1.0,,,,2.0,4.0,,,1.0,,,74.0
17,"Walter, Jed",5,3,3,8,1,1.0,,4.0,,,,2.0,1.0,1.0,,5.0,4.0,,1.0,3.0,,,67.0
28,"Witts, Jarrod",11,3,8,19,,,31.0,7.0,,2.0,7.0,6.0,3.0,2.0,,11.0,6.0,1.0,,2.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,85,141,333,8,9.0,37.0,62.0,40.0,49.0,30.0,59.0,19.0,15.0,,125.0,205.0,9.0,5.0,43.0,3.0,6.0,
Opposition,Opposition,205,103,162,367,17,8.0,38.0,73.0,40.0,57.0,33.0,59.0,15.0,18.0,6.0,118.0,246.0,7.0,16.0,42.0,7.0,12.0,
