0,1,2,3,4,5,6
←,"Round: Preliminary Final Venue: M.C.G. Date: Sat, 20-Sep-2014 4:45 PM Attendance: 74856","Round: Preliminary Final Venue: M.C.G. Date: Sat, 20-Sep-2014 4:45 PM Attendance: 74856","Round: Preliminary Final Venue: M.C.G. Date: Sat, 20-Sep-2014 4:45 PM Attendance: 74856","Round: Preliminary Final Venue: M.C.G. Date: Sat, 20-Sep-2014 4:45 PM Attendance: 74856","Round: Preliminary Final Venue: M.C.G. Date: Sat, 20-Sep-2014 4:45 PM Attendance: 74856",→
←,Hawthorn,2.3.15,8.4.52,13.6.84,15.7.97,→
←,Port Adelaide,3.9.27,5.11.41,8.13.61,13.16.94,→
←,Qrt margin,PA by 12,HW by 11,HW by 23,HW by 3,→
←,Qrt scores,PA 27-15,HW 37-14,HW 32-20,PA 33-13,→
←,Field umpires,"Brett Rosebury (306), Matt Stevic (251), Justin Schmitt (282)","Brett Rosebury (306), Matt Stevic (251), Justin Schmitt (282)","Brett Rosebury (306), Matt Stevic (251), Justin Schmitt (282)","Brett Rosebury (306), Matt Stevic (251), Justin Schmitt (282)",→
