Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",25y 215d,159 (88-0-71 55.35%),147 (0.92),←,
17,"Bruce, Josh",29y 19d,144 (62-1-81 43.40%),222 (1.54),31 (20-0-11 64.52%),51 (1.65)
12,"Cordy, Zaine",24y 243d,94 (51-0-43 54.26%),10 (0.11),←,
31,"Dale, Bailey",24y 340d,73 (40-0-33 54.79%),66 (0.90),←,
35,"Daniel, Caleb",24y 355d,122 (67-0-55 54.92%),33 (0.27),←,
15,"Duryea, Taylor",30y 64d,149 (104-1-44 70.13%),23 (0.15),31 (22-0-9 70.97%),2 (0.06)
44,"English, Tim",23y 321d,57 (32-0-25 56.14%),29 (0.51),←,
38,"Garcia, Riley",20y 148d,2 (1-0-1 50.00%),1 (0.50),←,
43,"Gardner, Ryan",24y 26d,18 (11-0-7 61.11%),2 (0.11),←,
29,"Hannan, Mitch",27y 110d,57 (33-0-24 57.89%),59 (1.04),7 (5-0-2 71.43%),4 (0.57)
7,"Hunter, Lachie",26y 196d,151 (81-0-70 53.64%),68 (0.45),←,
39,"Johannisen, Jason",28y 231d,156 (79-0-77 50.64%),53 (0.34),←,
42,"Keath, Alex",29y 158d,62 (37-1-24 60.48%),2 (0.03),32 (21-0-11 65.63%),1 (0.03)
21,"Liberatore, Tom",29y 42d,162 (77-0-85 47.53%),58 (0.36),←,
11,"Macrae, Jack",26y 328d,173 (92-0-81 53.18%),40 (0.23),←,
16,"McLean, Toby",25y 147d,93 (50-0-43 53.76%),62 (0.67),←,
33,"Naughton, Aaron",21y 209d,67 (38-0-29 56.72%),82 (1.22),←,
20,"Richards, Ed",21y 359d,59 (30-0-29 50.85%),23 (0.39),←,
28,"Scott, Anthony",26y 119d,13 (11-0-2 84.62%),8 (0.62),←,
6,"Smith, Bailey",20y 202d,55 (33-0-22 60.00%),24 (0.44),←,
3,"Wallis, Mitch",28y 246d,155 (73-0-82 47.10%),101 (0.65),←,
19,"Weightman, Cody",20y 163d,9 (6-0-3 66.67%),13 (1.44),←,
34,"Williams, Bailey",23y 260d,70 (38-0-32 54.29%),10 (0.14),←,
Totals,Totals,25y 148d,2100 (1134-3-963 54.00%),1136 (0.54),,
C,"Beveridge, Luke",50y 308d,148 (85-0-63 57.43%),,←,
