Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
12,"Akermanis, Jason",26y 111d,175 (109-4-62 63.43%),204 (1.17),137 (86-3-48 63.87%),160 (1.17)
10,"Ashcroft, Marcus",31y 263d,305 (145-5-155 48.36%),145 (0.48),153 (92-3-58 61.11%),61 (0.40)
20,"Black, Simon",24y 73d,112 (78-1-33 70.09%),83 (0.74),←,
17,"Brennan, Jared",18y 322d,7 (4-0-3 57.14%),5 (0.71),←,
1,"Caracella, Blake",26y 92d,133 (90-2-41 68.42%),157 (1.18),7 (4-1-2 64.29%),6 (0.86)
19,"Charman, Jamie",20y 334d,34 (25-1-8 75.00%),5 (0.15),←,
30,"Copeland, Robert",22y 20d,38 (32-0-6 84.21%),11 (0.29),←,
32,"Hart, Shaun",32y 29d,239 (123-3-113 52.09%),158 (0.66),137 (86-2-49 63.50%),77 (0.56)
2,"Johnson, Chris",27y 16d,188 (87-3-98 47.07%),145 (0.77),129 (80-3-46 63.18%),78 (0.60)
44,"Lappin, Nigel",26y 359d,206 (120-4-82 59.22%),140 (0.68),145 (88-3-54 61.72%),100 (0.69)
23,"Leppitsch, Justin",27y 257d,175 (102-4-69 59.43%),184 (1.05),131 (80-3-48 62.21%),126 (0.96)
11,"Lynch, Alastair",34y 361d,280 (142-2-136 51.07%),547 (1.95),128 (81-2-45 64.06%),285 (2.23)
9,"McGrath, Ashley",20y 26d,19 (13-1-5 71.05%),2 (0.11),←,
25,"McLaren, Dylan",21y 38d,10 (9-0-1 90.00%),,←,
4,"McRae, Craig",29y 266d,165 (103-2-60 63.03%),201 (1.22),126 (82-2-42 65.87%),145 (1.15)
15,"Michael, Mal",25y 356d,120 (67-1-52 56.25%),26 (0.22),59 (46-1-12 78.81%),3 (0.05)
13,"Pike, Martin",30y 213d,200 (115-1-84 57.75%),88 (0.44),59 (45-1-13 77.12%),29 (0.49)
6,"Power, Luke",23y 158d,96 (65-1-30 68.23%),126 (1.31),←,
5,"Scott, Brad",27y 43d,108 (64-2-42 60.19%),35 (0.32),86 (56-2-28 66.28%),29 (0.34)
34,"Shattock, Aaron",23y 44d,40 (25-1-14 63.75%),9 (0.22),←,
31,"Weller, Luke",21y 153d,1 (0-0-1 0.00%),,←,
33,"White, Darryl",30y 3d,232 (125-5-102 54.96%),160 (0.69),142 (86-3-53 61.62%),54 (0.38)
Totals,Totals,25y 360d,2883 (1643-43-1197 56.99%),2431 (0.84),,
C,"Matthews, Leigh",51y 106d,335 (204-6-125 61.79%),,111 (79-1-31 71.62%),
