Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
22,"Bain, David",26y 15d,67 (14-1-52 21.64%),38 (0.57),←,
25,"Campbell, Matthew",28y 108d,69 (15-1-53 22.46%),21 (0.30),←,
1,"Champion, Richard",24y 33d,26 (3-1-22 13.46%),9 (0.35),←,
12,"Clarke, Troy",22y 344d,19 (2-1-16 13.16%),8 (0.42),←,
4,"Gastev, John",27y 280d,97 (32-1-64 33.51%),63 (0.65),67 (15-1-51 23.13%),32 (0.48)
34,"Green, Ashley",19y 41d,6 (1-1-4 25.00%),,←,
14,"Hamilton, Shane",21y 273d,44 (13-0-31 29.55%),56 (1.27),17 (1-0-16 5.88%),16 (0.94)
32,"Hart, Shaun",21y,22 (5-1-16 25.00%),4 (0.18),←,
41,"Kennedy, Matthew",22y 103d,24 (3-0-21 12.50%),3 (0.13),←,
17,"Leslie, Martin",29y 182d,59 (12-1-46 21.19%),5 (0.08),←,
16,"Luhrs, Simon",21y 334d,12 (1-0-11 8.33%),,←,
7,"McIvor, Scott",25y 282d,130 (47-0-83 36.15%),49 (0.38),75 (21-0-54 28.00%),34 (0.45)
26,"Noonan, Danny",23y 170d,25 (3-1-21 14.00%),10 (0.40),←,
44,"Palfreyman, Nigel",18y 228d,8 (1-1-6 18.75%),6 (0.75),←,
23,"Schache, Laurence",24y 213d,22 (3-1-18 15.91%),51 (2.32),←,
13,"Shephard, Heath",22y 253d,13 (8-0-5 61.54%),17 (1.31),2 (0-0-2 0.00%),1 (0.50)
33,"White, Darryl",18y 340d,7 (1-1-5 21.43%),2 (0.29),←,
28,"Windsor, Ray",19y 280d,14 (2-1-11 17.86%),11 (0.79),←,
18,"Worsfold, Peter",21y 311d,15 (1-1-13 10.00%),15 (1.00),←,
21,"Zanotti, Mark",27y 191d,89 (26-0-63 29.21%),9 (0.10),53 (9-0-44 16.98%),3 (0.06)
Totals,Totals,23y 144d,768 (193-14-561 25.13%),377 (0.49),,
C,"Walls, Robert",41y 301d,229 (119-2-108 52.40%),,30 (4-1-25 15.00%),
