North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",21y 331d,43 (17-1-25 40.70%),30 (0.70),←,
11,"Angus, Warwick",20y 282d,7 (4-0-3 57.14%),2 (0.29),←,
17,"Arceri, Mark",25y 179d,70 (33-0-37 47.14%),102 (1.46),←,
44,"Brayshaw, Mark",24y 76d,4 (2-0-2 50.00%),2 (0.50),←,
14,"Buckley, Ben",22y 297d,38 (15-0-23 39.47%),9 (0.24),←,
18,"Carey, Wayne",18y 330d,8 (4-0-4 50.00%),8 (1.00),←,
29,"German, Peter",25y 79d,110 (53-3-54 49.55%),136 (1.24),←,
26,"Harris, Darren",24y 248d,44 (21-1-22 48.86%),23 (0.52),←,
34,"Hepburn, Mark",21y 236d,38 (17-1-20 46.05%),24 (0.63),←,
9,"Larkin, Matthew",25y 246d,112 (55-3-54 50.45%),96 (0.86),←,
35,"Longmire, John",19y 112d,31 (10-1-20 33.87%),51 (1.65),←,
4,"Martyn, Mick",21y 234d,40 (15-1-24 38.75%),4 (0.10),←,
16,"McCarthy, John",23y 23d,42 (15-1-26 36.90%),33 (0.79),←,
19,"McRae, Dean",21y 161d,50 (22-1-27 45.00%),17 (0.34),←,
28,"Pickering, Liam",21y 225d,9 (2-0-7 22.22%),7 (0.78),←,
3,"Rock, Anthony",19y 205d,8 (5-0-3 62.50%),4 (0.50),←,
2,"Schwass, Wayne",21y 146d,33 (12-0-21 36.36%),18 (0.55),←,
15,"Smith, Ross",25y 78d,106 (47-2-57 45.28%),24 (0.23),←,
7,"Steele, Darren",24y 9d,87 (38-1-48 44.25%),24 (0.28),←,
46,"Stevens, Anthony",18y 294d,8 (3-0-5 37.50%),,←,
Totals,Totals,22y 135d,888 (390-16-482 43.92%),614 (0.69),,
C,"Schimmelbusch, Wayne",37y 93d,4 (2-0-2 50.00%),,←,
