Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Brown, Nathan",2,2,9,11,,,,1.0,,1.0,,,,,,8,3,2.0,,8.0,,,100.0
18,"Clarke, Martin",12,6,3,15,,2.0,,2.0,3.0,3.0,1.0,,1.0,,,2,14,,,2.0,,1.0,87.0
32,"Cloke, Travis",17,14,1,18,5.0,4.0,,,,5.0,,5.0,,,1.0,4,12,3.0,9.0,3.0,,1.0,87.0
29,"Cook, Ryan",10,6,8,18,,,,3.0,,4.0,,4.0,1.0,2.0,,3,15,,,,,,76.0
1,"Davis, Leon",15,5,2,17,3.0,1.0,,3.0,,2.0,3.0,2.0,,,,6,10,,3.0,,,,80.0
4,"Didak, Alan",21,11,4,25,1.0,,,3.0,2.0,7.0,2.0,2.0,,,,4,20,,,1.0,1.0,2.0,85.0
25,"Fraser, Josh",8,6,9,17,,,18.0,1.0,1.0,,2.0,,2.0,,,4,14,,,,1.0,1.0,67.0
38,"Goldsack, Tyson",6,4,4,10,1.0,,,1.0,3.0,1.0,2.0,2.0,,1.0,,4,6,,,1.0,,1.0,69.0
26,"Johnson, Ben",15,6,7,22,1.0,,,1.0,,9.0,1.0,2.0,1.0,1.0,,3,19,,,1.0,1.0,2.0,80.0
24,"Lockyer, Tarkyn",11,7,2,13,3.0,1.0,,5.0,,4.0,,5.0,1.0,1.0,,1,12,,2.0,2.0,,1.0,88.0
8,"Lumumba, Heritier",5,2,8,13,,,,2.0,2.0,,,,2.0,,,6,7,,,2.0,,,100.0
5,"Maxwell, Nick",6,1,6,12,,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,6,4,,,2.0,,,90.0
7,"Medhurst, Paul",13,8,4,17,6.0,2.0,,4.0,,3.0,1.0,3.0,1.0,,3.0,7,10,2.0,7.0,,,,91.0
11,"OBree, Shane",10,2,16,26,,,,5.0,1.0,3.0,6.0,3.0,,,,13,11,,1.0,4.0,,3.0,72.0
10,"Pendlebury, Scott",20,11,13,33,,2.0,,7.0,1.0,3.0,7.0,,1.0,,2.0,11,21,1.0,3.0,,,3.0,78.0
39,"Shaw, Heath",16,10,8,24,,,1.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,,11,14,2.0,,1.0,1.0,,93.0
22,"Shaw, Rhyce",12,10,7,19,,,,2.0,2.0,6.0,3.0,,,,,4,15,,1.0,6.0,5.0,,80.0
36,"Swan, Dane",15,7,7,22,1.0,1.0,,2.0,1.0,4.0,4.0,,2.0,,,10,12,,1.0,,1.0,,58.0
13,"Thomas, Dale",8,3,1,9,1.0,2.0,,1.0,1.0,4.0,,1.0,,1.0,,4,6,,1.0,,4.0,,83.0
14,"Wakelin, Shane",9,3,2,11,,,,,4.0,1.0,,,2.0,,,2,8,,,1.0,2.0,,100.0
21,"Wellingham, Sharrod",7,4,10,17,,,,4.0,,3.0,2.0,2.0,,1.0,,6,11,,,1.0,1.0,3.0,78.0
19,"Wood, Cameron",3,4,3,6,1.0,,13.0,,,1.0,,,1.0,,,4,2,3.0,1.0,5.0,,,58.0
Totals,Totals,241,132,134,375,23.0,16.0,32.0,51.0,25.0,67.0,37.0,38.0,18.0,11.0,6.0,123,246,13.0,29.0,40.0,17.0,18.0,
Opposition,Opposition,156,73,144,300,12.0,9.0,35.0,42.0,37.0,40.0,30.0,43.0,11.0,18.0,,104,187,12.0,15.0,32.0,19.0,9.0,
