Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",26y 323d,193 (124-2-67 64.77%),262 (1.36),1 (0-0-1 0.00%),
37,"Bennell, Harley",18y 182d,1 (0-0-1 0.00%),1 (1.00),←,
44,"Bock, Nathan",28y 13d,114 (60-0-54 52.63%),57 (0.50),1 (0-0-1 0.00%),
3,"Brennan, Jared",26y 248d,120 (55-3-62 47.08%),75 (0.63),1 (0-0-1 0.00%),
30,"Brown, Campbell",27y 217d,160 (75-1-84 47.19%),64 (0.40),1 (0-0-1 0.00%),
23,"Dixon, Charlie",20y 191d,1 (0-0-1 0.00%),2 (2.00),←,
17,"Fraser, Josh",29y 87d,201 (110-1-90 54.98%),157 (0.78),1 (0-0-1 0.00%),1 (1.00)
5,"Harbrow, Jarrod",22y 258d,71 (40-1-30 57.04%),21 (0.30),1 (0-0-1 0.00%),
21,"Harris, Daniel",28y 327d,150 (72-2-76 48.67%),45 (0.30),1 (0-0-1 0.00%),1 (1.00)
7,"Hunt, Karmichael",24y 136d,1 (0-0-1 0.00%),,←,
14,"Krakouer, Nathan",22y 332d,41 (21-0-20 51.22%),7 (0.17),1 (0-0-1 0.00%),
1,"Lock, Marc",19y 285d,1 (0-0-1 0.00%),,←,
6,"Magin, Alik",19y 354d,1 (0-0-1 0.00%),,←,
32,"Matera, Brandon",19y 22d,1 (0-0-1 0.00%),1 (1.00),←,
18,"McKenzie, Trent",18y 364d,1 (0-0-1 0.00%),,←,
41,"Prestia, Dion",18y 172d,1 (0-0-1 0.00%),,←,
35,"Rischitelli, Michael",25y 84d,112 (49-3-60 45.09%),47 (0.42),1 (0-0-1 0.00%),
2,"Smith, Zac",21y 39d,1 (0-0-1 0.00%),,←,
25,"Stanley, Danny",23y 43d,6 (1-0-5 16.67%),1 (0.17),1 (0-0-1 0.00%),1 (1.00)
24,"Swallow, David",18y 134d,1 (0-0-1 0.00%),,←,
48,"Tape, Seb",18y 239d,1 (0-0-1 0.00%),,←,
20,"Toy, Josh",18y 349d,1 (0-0-1 0.00%),,←,
Totals,Totals,22y 233d,1180 (607-13-560 51.44%),740 (0.63),,
C,"McKenna, Guy",41y 326d,1 (0-0-1 0.00%),,←,
